year,variable,raw_unique_values,inferred_type,mapping_basis,warnings
2020,weight_raw,0.897368844|0.904833328|0.953220397|0.971239846|0.971858267|0.978443602|0.999862234|1.003341622|1.007477334|1.010579287|1.010783479|1.015857721|1.018717847|1.018985477|1.027058326|1.030682493|1.035601591|1.040776845|1.047210577|1.049434223|...(+916),continuous_numeric,"관측값: 0.897368844,0.904833328,0.953220397,0.971239846,0.971858267,0.978443602,0.999862234,1.003341622,1.007477334,1.010579287 ...(+926)",
2020,industry_raw,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9|99,nominal_categorical,"코드북: 1:농업, 임업 및 어업(광업포함) / 2:제조업 / 3:전기, 가스, 증기 및 공기 조절업/수도, 하수폐기물처리, 원료재생업 / 4:건설업 / 5:도매 및 소매업 / 6:운수 및 창고업 / 7:숙박 및 음식점업 / 8:정보통신업 ; 관측값: 1,10,11,12,13,14,15,16,2,3 ...(+7)",
2020,industry_size_raw,101|102|103|11|111|112|113|12|121|122|123|13|131|132|133|141|142|143|151|152|...(+28),nominal_categorical,"코드북: 11:농업, 임업 및 어업(광업포함)-10-49명 / 12:농업, 임업 및 어업(광업포함)-50-249명 / 13:농업, 임업 및 어업(광업포함)-250명 이상 / 21:제조업-10-49명 / 22:제조업-50-249명 / 23:제조업-250명 이상 / 31:전기, 가스, 증기 및 공기 조절업/수도, 하수폐기물처리, 원료재생업-10-49명 / 32:전기, 가스, 증기 및 공기 조절업/수도, 하수폐기물처리, 원료재생업-50-249명 ; 관측값: 101,102,103,11,111,112,113,12,121,122 ...(+38)",
2020,firm_size_raw,,ordinal_likert_or_ordered_category,관측값: ,비결측 값 없음
2020,it_org_any_raw,1|2,binary_yes_no,"코드북: 1:예 / 2:아니오 ; 관측값: 1,2",
2020,it_org_internal_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2020,it_org_mixed_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2020,it_org_outsource_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2020,it_invest_share_raw,1|2|3|4,continuous_numeric,"코드북: 1:1%이하 / 2:1%~5%미만 / 3:5%~10%미만 / 4:10%이상 / 997:본사 관리 / 998:거절 / 999:모름 ; 관측값: 1,2,3,4",
2020,ai_use_raw,1|2|3,binary_yes_no,"코드북: 1:예 / 2:아니오, 그러나 인공지능 기술 및 서비스에 대해 알고 있음 / 3:아니오, 인공지능 기술 및 서비스에 대해 모름 ; 관측값: 1,2,3",
2020,proc_improve_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 2.5:①+② / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 / 5.5:④+⑤ / 9:모름 / 무응답 ; 관측값: 1,2,3,4,5",
2020,decision_improve_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 2.5:①+② / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 / 5.5:④+⑤ / 9:모름 / 무응답 ; 관측값: 1,2,3,4,5",
2020,innov_outcome_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 2.5:①+② / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 / 5.5:④+⑤ / 9:모름 / 무응답 ; 관측값: 1,2,3,4,5",
2021,weight_raw,.907158431755762|.931556083031949|.951154058557865|.95847633921453|.962845030595192|.972831794519143|.977546563149754|.984567387845128|.987842509904452|.990493724217157|1.0000000056351|1.00000000563712|1.00000000566147|1.00393468678681|1.00867031351107|1.01027665540496|1.02305833902775|1.02419362123777|1.03020899654945|1.03179174169036|...(+912),continuous_numeric,"관측값: 0.907158431755762,0.931556083031949,0.951154058557865,0.95847633921453,0.962845030595192,0.972831794519143,0.977546563149754,0.984567387845128,0.987842509904452,0.990493724217157 ...(+922)",
2021,industry_raw,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9,nominal_categorical,"코드북: 1:농림수산업(광업포함) / 2:제조업 / 3:전기 등 공기조절 공급업/수도 등 원료 재생업 / 4:건설업 / 5:도매 및 소매업 / 6:운수 및 창고업 / 7:숙박 및 음식점업 / 8:정보통신업 ; 관측값: 1,10,11,12,13,14,15,16,2,3 ...(+6)",
2021,industry_size_raw,101|102|103|11|111|112|113|12|121|122|123|13|131|132|133|141|142|143|151|152|...(+28),nominal_categorical,"코드북: 11:농림수산업(광업포함)-10-49명 / 12:농림수산업(광업포함)-50-249명 / 13:농림수산업(광업포함)-250명 이상 / 21:제조업-10-49명 / 22:제조업-50-249명 / 23:제조업-250명 이상 / 31:전기 등 공기조절 공급업/수도 등 원료 재생업-10-49명 / 32:전기 등 공기조절 공급업/수도 등 원료 재생업-50-249명 ; 관측값: 101,102,103,11,111,112,113,12,121,122 ...(+38)",
2021,firm_size_raw,1|2|3,ordinal_likert_or_ordered_category,"코드북: 1:10~49명 / 2:50~249명 / 3:250명 이상 ; 관측값: 1,2,3",
2021,it_org_any_raw,1|2,binary_yes_no,"코드북: 1:예 / 2:아니오 ; 관측값: 1,2",
2021,it_org_internal_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2021,it_org_mixed_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2021,it_org_outsource_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2021,it_invest_share_raw,1|10|100|11|13|15|16|18|2|20|25|3|30|4|5|50|6|7|8|9,continuous_numeric,"코드북: 997:본사 관리 / 998:거절 / 999:모름 ; 관측값: 1,10,100,11,13,15,16,18,2,20 ...(+10)",
2021,it_invest_share_cat_raw,1|2|3|4,ordinal_likert_or_ordered_category,"코드북: 1:1%이하 / 2:1%~5%미만 / 3:5%~10%미만 / 4:10%이상 / 997:본사 관리 / 998:거절 / 999:모름 ; 관측값: 1,2,3,4",
2021,ai_use_raw,1|2|3,binary_yes_no,"코드북: 1:예 / 2:아니오, 그러나 인공지능 기술 및 서비스에 대해 알고 있음 / 3:아니오, 인공지능 기술 및 서비스에 대해 모름 ; 관측값: 1,2,3",
2021,proc_improve_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 2.5:①+② / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 / 5.5:④+⑤ / 9:모름 / 무응답 ; 관측값: 1,2,3,4,5",
2021,decision_improve_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 2.5:①+② / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 / 5.5:④+⑤ / 9:모름 / 무응답 ; 관측값: 1,2,3,4,5",
2021,innov_outcome_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 2.5:①+② / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 / 5.5:④+⑤ / 9:모름 / 무응답 ; 관측값: 1,2,3,4,5",
2022,weight_raw,0.973331128|0.977343262|0.983397761|0.986220231|0.990089576|0.994311014|0.996153195|1|1.009144824|1.011377971|1.013251772|1.013779769|1.034547934|1.039559949|1.042516134|1.044281961|1.049916202|1.060322927|1.066460227|1.07296244|...(+927),continuous_numeric,"관측값: 0.973331128,0.977343262,0.983397761,0.986220231,0.990089576,0.994311014,0.996153195,1,1.009144824,1.011377971 ...(+937)",
2022,industry_raw,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9,nominal_categorical,"코드북: 1:농림수산업(광업포함) / 2:제조업 / 3:전기 등 공기조절 공급업/수도 등 원료 재생업 / 4:건설업 / 5:도매 및 소매업 / 6:운수 및 창고업 / 7:숙박 및 음식점업 / 8:정보통신업 ; 관측값: 1,10,11,12,13,14,15,16,2,3 ...(+6)",
2022,industry_size_raw,101|102|103|11|111|112|113|12|121|122|123|13|131|132|133|141|142|143|151|152|...(+28),nominal_categorical,"코드북: 11:농림수산업(광업포함)-10-49명 / 12:농림수산업(광업포함)-50-249명 / 13:농림수산업(광업포함)-250명 이상 / 21:제조업-10-49명 / 22:제조업-50-249명 / 23:제조업-250명 이상 / 31:전기 등 공기조절 공급업/수도 등 원료 재생업-10-49명 / 32:전기 등 공기조절 공급업/수도 등 원료 재생업-50-249명 ; 관측값: 101,102,103,11,111,112,113,12,121,122 ...(+38)",
2022,firm_size_raw,1|2|3,ordinal_likert_or_ordered_category,"코드북: 1:10-49명 / 2:50-249명 / 3:250 이상 ; 관측값: 1,2,3",
2022,it_org_any_raw,1|2,binary_yes_no,"코드북: 1:예 / 2:아니오 ; 관측값: 1,2",
2022,it_org_internal_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2022,it_org_mixed_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2022,it_org_outsource_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2022,it_invest_share_raw,1|10|100|11|12|13|15|16|18|2|20|25|3|30|4|5|50|6|61|7|...(+2),continuous_numeric,"코드북: 999:모름 ; 관측값: 1,10,100,11,12,13,15,16,18,2 ...(+12)",
2022,it_invest_share_cat_raw,1|2|3|4,ordinal_likert_or_ordered_category,"코드북: 1:1%이하 / 2:1%~5%미만 / 3:5%~10%미만 / 4:10%이상 / 999:모름 ; 관측값: 1,2,3,4",
2022,ai_use_raw,1|2|3,binary_yes_no,"코드북: 1:예 / 2:아니오, 그러나 인공지능 기술 및 서비스에 대해 알고 있음 / 3:아니오, 인공지능 기술 및 서비스에 대해 모름 ; 관측값: 1,2,3",
2022,proc_improve_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 / 6:④+⑤ ; 관측값: 1,2,3,4,5",
2022,decision_improve_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 / 6:④+⑤ ; 관측값: 1,2,3,4,5",
2022,innov_outcome_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 / 6:④+⑤ ; 관측값: 1,2,3,4,5",
2023,weight_raw,.9380597062487|.9545390476273|.9624148364875|.9660915771133|.9670331953306|.973092480476|.9740626845289|.9762015590069|.9784516701651|.99028914221|.9946132473078|.9946221129164|.9948620126347|1.0028286224107|1.0133201406921|1.0213730490357|1.0235153757207|1.0299289344505|1.0309327728755|1.0428383587542|...(+939),continuous_numeric,"관측값: 0.9380597062487,0.9545390476273,0.9624148364875,0.9660915771133,0.9670331953306,0.973092480476,0.9740626845289,0.9762015590069,0.9784516701651,0.99028914221 ...(+949)",
2023,industry_raw,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9,nominal_categorical,"코드북: 1:농림수산업(광업포함) / 2:제조업 / 3:전기 등 공기조절 공급업/수도 등 원료 재생업 / 4:건설업 / 5:도매 및 소매업 / 6:운수 및 창고업 / 7:숙박 및 음식점업 / 8:정보통신업 ; 관측값: 1,10,11,12,13,14,15,16,2,3 ...(+6)",
2023,industry_size_raw,101|102|103|104|11|111|112|113|114|12|121|122|123|124|13|131|132|133|134|141|...(+43),nominal_categorical,"코드북: 11:농림수산업(광업포함)-10-49명 / 12:농림수산업(광업포함)-50-249명 / 13:농림수산업(광업포함)-250~999명 / 14:농림수산업(광업포함)-1000명 이상 / 21:제조업-10-49명 / 22:제조업-50-249명 / 23:제조업-250~999명 / 24:제조업-1000명 이상 ; 관측값: 101,102,103,104,11,111,112,113,114,12 ...(+53)",
2023,firm_size_raw,1|2|3|4,ordinal_likert_or_ordered_category,"코드북: 1:10-49명 / 2:50-249명 / 3:250~999명 / 4:1000명 이상 ; 관측값: 1,2,3,4",
2023,it_org_any_raw,1|2,binary_yes_no,"코드북: 1:보유 / 2:미보유 ; 관측값: 1,2",
2023,it_org_internal_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2023,it_org_mixed_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2023,it_org_outsource_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2023,it_invest_share_raw,1|10|11|12|13|14|15|16|17|18|2|20|25|26|3|30|35|4|40|45|...(+10),continuous_numeric,"관측값: 1,10,11,12,13,14,15,16,17,18 ...(+20)",
2023,it_invest_share_cat_raw,1|2|3|4,ordinal_likert_or_ordered_category,"코드북: 1:1%이하 / 2:1%초과~5%미만 / 3:5%~10%미만 / 4:10%이상 ; 관측값: 1,2,3,4",
2023,ai_use_raw,1|2,binary_yes_no,"코드북: 1:예 / 2:아니오 ; 관측값: 1,2",
2023,proc_improve_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 ; 관측값: 1,2,3,4,5",
2023,decision_improve_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 ; 관측값: 1,2,3,4,5",
2023,innov_outcome_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 ; 관측값: 1,2,3,4,5",
2024,weight_raw,.995550292824027|.997538943372789|1.00347942008023|1.00384383429386|1.01337009578789|1.03687735938699|1.06213939044596|1.06382307623477|1.06573798592779|1.06878732243119|1.07200042965616|1.07497956664646|1.07668360647015|1.07725653024161|1.07838433438996|1.07858107068617|1.07896417947032|1.07940839218718|1.08007651558893|1.08111945251184|...(+962),continuous_numeric,"관측값: 0.995550292824027,0.997538943372789,1.00347942008023,1.00384383429386,1.01337009578789,1.03687735938699,1.06213939044596,1.06382307623477,1.06573798592779,1.06878732243119 ...(+972)",
2024,industry_raw,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9,nominal_categorical,"코드북: 1:농림수산업(광업포함) / 2:제조업 / 3:전기 등 공기조절 공급업/수도 등 원료 재생업 / 4:건설업 / 5:도매 및 소매업 / 6:운수 및 창고업 / 7:숙박 및 음식점업 / 8:정보통신업 ; 관측값: 1,10,11,12,13,14,15,16,2,3 ...(+6)",
2024,industry_size_raw,101|102|103|104|11|111|112|113|114|12|121|122|123|124|13|131|132|133|134|141|...(+42),nominal_categorical,"코드북: 11:농림수산업(광업포함)-10-49명 / 12:농림수산업(광업포함)-50-249명 / 13:농림수산업(광업포함)-250~999명 / 14:농림수산업(광업포함)-1000명 이상 / 21:제조업-10-49명 / 22:제조업-50-249명 / 23:제조업-250~999명 / 24:제조업-1000명 이상 ; 관측값: 101,102,103,104,11,111,112,113,114,12 ...(+52)",
2024,firm_size_raw,1|2|3|4,ordinal_likert_or_ordered_category,"코드북: 1:10-49명 / 2:50-249명 / 3:250~999명 / 4:1000명 이상 ; 관측값: 1,2,3,4",
2024,it_org_any_raw,1|2,binary_yes_no,"코드북: 1:보유 / 2:미보유 ; 관측값: 1,2",
2024,it_org_internal_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2024,it_org_mixed_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2024,it_org_outsource_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2024,it_invest_share_raw,1|10|100|12|13|15|17|2|20|21|23|25|3|30|35|36|4|40|45|49|...(+20),continuous_numeric,"관측값: 1,10,100,12,13,15,17,2,20,21 ...(+30)",
2024,it_invest_share_cat_raw,,ordinal_likert_or_ordered_category,코드북: 1:1%이하 / 2:1%초과~5%미만 / 3:5%~10%미만 / 4:10%이상 ; 관측값: ,비결측 값 없음
2024,ai_use_raw,1|2,binary_yes_no,"코드북: 1:예 / 2:아니오 ; 관측값: 1,2",
2024,proc_improve_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 ; 관측값: 1,2,3,4,5",
2024,decision_improve_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 ; 관측값: 1,2,3,4,5",
2024,innov_outcome_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 ; 관측값: 1,2,3,4,5",
