year,weight,industry,industry_size,firm_size,it_org_any,it_org_internal,it_org_mixed,it_org_outsource,it_org_type,it_invest_share,ai_use,proc_improve,innov_outcome,decision_improve,weight_raw,industry_raw,industry_size_raw,firm_size_raw,it_org_any_raw,it_org_internal_raw,it_org_mixed_raw,it_org_outsource_raw,it_invest_share_raw,ai_use_raw,proc_efficiency_raw,proc_cost_raw
2019,50.28405141,12,123,3,0,0,0,0,0,2.0,0,3,,,50.28405141,12,123,3,2,,,,2,2,3,3
2019,375.9186094,13,132,2,0,0,0,0,0,2.0,0,4,,,375.9186094,13,132,2,2,,,,2,2,4,3
2019,145.5197041,4,43,3,0,0,0,0,0,2.0,0,2,,,145.5197041,4,43,3,2,,,,2,2,3,2
2019,8.395060478,11,114,4,0,0,0,0,0,2.0,0,4,,,8.395060478,11,114,4,2,,,,2,3,5,4
2019,9.948814145,1,12,2,0,0,0,0,0,2.0,0,2,,,9.948814145,1,12,2,2,,,,2,2,3,2
2019,33.77312505,7,72,2,0,0,0,0,0,,0,5,,,33.77312505,7,72,2,2,,,,,3,5,5
2019,124.3660728,12,122,2,1,0,1,0,2,2.0,0,2,,,124.3660728,12,122,2,1,0,1,0,2,2,2,2
2019,166.0658299,13,133,3,0,0,0,0,0,2.0,0,4,,,166.0658299,13,133,3,2,,,,2,2,4,3
2019,58.83799979,5,52,2,0,0,0,0,0,2.0,0,3,,,58.83799979,5,52,2,2,,,,2,2,3,3
2019,49.93878493,5,53,3,0,0,0,0,0,2.0,1,2,,,49.93878493,5,53,3,2,,,,2,1,2,3
2019,47.22153623,10,103,3,0,0,0,0,0,2.0,0,2,,,47.22153623,10,103,3,2,,,,2,2,4,1
2019,9.268231612,10,104,4,0,0,0,0,0,2.0,1,3,,,9.268231612,10,104,4,2,,,,2,1,3,3
2019,44.87137166,11,113,3,0,0,0,0,0,2.0,0,4,,,44.87137166,11,113,3,2,,,,2,2,4,3
2019,25.80794009,2,24,4,1,0,1,0,2,2.0,0,3,,,25.80794009,2,24,4,1,0,1,0,2,2,3,3
2019,49.80882053,11,113,3,0,0,0,0,0,2.0,0,3,,,49.80882053,11,113,3,2,,,,2,2,3,3
2019,1.394161265,1,14,4,0,0,0,0,0,2.0,0,5,,,1.394161265,1,14,4,2,,,,2,2,5,5
2019,54.80921488,8,81,1,1,0,1,0,2,2.0,0,3,,,54.80921488,8,81,1,1,0,1,0,2,2,3,3
2019,78.06173436,8,83,3,1,0,1,0,2,2.0,1,4,,,78.06173436,8,83,3,1,0,1,0,2,1,4,4
2019,179.9115432,3,33,3,1,0,1,0,2,2.0,0,3,,,179.9115432,3,33,3,1,0,1,0,2,2,3,3
2019,119.283843,12,122,2,1,0,0,1,3,2.0,0,5,,,119.283843,12,122,2,1,0,0,1,2,2,5,5
2019,1.915232382,2,25,5,1,0,0,1,3,4.0,0,4,,,1.915232382,2,25,5,1,0,0,1,4,3,4,3
2019,1.286838876,6,65,5,1,0,1,1,4,2.0,0,4,,,1.286838876,6,65,5,1,0,1,1,2,2,4,3
2019,25.80794009,2,24,4,1,0,0,1,3,2.0,0,5,,,25.80794009,2,24,4,1,0,0,1,2,2,5,5
2019,3854.803181,4,41,1,0,0,0,0,0,2.0,0,5,,,3854.803181,4,41,1,2,,,,2,2,5,5
2019,205.587279,2,21,1,0,0,0,0,0,2.0,0,5,,,205.587279,2,21,1,2,,,,2,2,5,5
2019,400.2307378,13,132,2,0,0,0,0,0,2.0,0,2,,,400.2307378,13,132,2,2,,,,2,3,2,2
2019,400.2307378,13,132,2,0,0,0,0,0,2.0,0,4,,,400.2307378,13,132,2,2,,,,2,3,4,3
2019,77.84282513,2,23,3,0,0,0,0,0,2.0,1,3,,,77.84282513,2,23,3,2,,,,2,1,3,3
2019,173.6098184,3,32,2,0,0,0,0,0,2.0,0,5,,,173.6098184,3,32,2,2,,,,2,2,5,5
2019,74.98544156,10,102,2,1,1,0,0,1,2.0,0,3,,,74.98544156,10,102,2,1,1,0,0,2,2,3,3
2019,50.957205,8,82,2,0,0,0,0,0,2.0,0,4,,,50.957205,8,82,2,2,,,,2,2,4,4
2019,145.5197041,4,43,3,0,0,0,0,0,2.0,0,5,,,145.5197041,4,43,3,2,,,,2,2,5,5
2019,383.801503,10,101,1,0,0,0,0,0,2.0,0,1,,,383.801503,10,101,1,2,,,,2,3,1,1
2019,50.09977483,6,63,3,1,0,0,1,3,2.0,0,3,,,50.09977483,6,63,3,1,0,0,1,2,3,3,3
2019,1364.79796,13,131,1,1,0,0,1,3,2.0,0,3,,,1364.79796,13,131,1,1,0,0,1,2,2,3,3
2019,25.80794009,2,24,4,1,0,1,0,2,2.0,0,4,,,25.80794009,2,24,4,1,0,1,0,2,2,4,3
2019,205.587279,2,21,1,0,0,0,0,0,,0,4,,,205.587279,2,21,1,2,,,,,3,4,4
2019,205.587279,2,21,1,0,0,0,0,0,,0,3,,,205.587279,2,21,1,2,,,,,3,3,3
2019,113.1432866,2,22,2,0,0,0,0,0,2.0,0,2,,,113.1432866,2,22,2,2,,,,2,2,3,2
2019,31.41017682,5,53,3,0,0,0,0,0,2.0,0,4,,,31.41017682,5,53,3,2,,,,2,2,5,4
2019,88.41791636,6,63,3,1,0,1,0,2,2.0,0,4,,,88.41791636,6,63,3,1,0,1,0,2,2,5,4
2019,14.11981102,7,74,4,0,0,0,0,0,2.0,0,3,,,14.11981102,7,74,4,2,,,,2,2,3,3
2019,52.71238289,9,93,3,0,0,0,0,0,2.0,0,3,,,52.71238289,9,93,3,2,,,,2,3,3,3
2019,428.8684779,3,31,1,0,0,0,0,0,2.0,0,5,,,428.8684779,3,31,1,2,,,,2,2,5,5
2019,181.2507701,7,71,1,1,1,0,0,1,2.0,1,5,,,181.2507701,7,71,1,1,1,0,0,2,1,5,5
2019,50.45475833,13,134,4,0,0,0,0,0,2.0,0,4,,,50.45475833,13,134,4,2,,,,2,2,4,4
2019,14.54705191,4,44,4,0,0,0,0,0,2.0,0,4,,,14.54705191,4,44,4,2,,,,2,3,4,4
2019,2302.704145,12,121,1,0,0,0,0,0,2.0,0,4,,,2302.704145,12,121,1,2,,,,2,3,4,4
2019,162.0772713,3,33,3,1,0,0,1,3,2.0,0,3,,,162.0772713,3,33,3,1,0,0,1,2,3,3,3
2019,77.84282513,2,23,3,0,0,0,0,0,2.0,0,3,,,77.84282513,2,23,3,2,,,,2,3,3,3
2019,3854.803181,4,41,1,0,0,0,0,0,2.0,0,3,,,3854.803181,4,41,1,2,,,,2,3,3,3
2019,1.30600806,6,65,5,1,1,0,0,1,2.0,0,3,,,1.30600806,6,65,5,1,1,0,0,2,2,3,3
2019,8.785752908,1,13,3,0,0,0,0,0,2.0,0,2,,,8.785752908,1,13,3,2,,,,2,2,3,2
2019,101.9276186,2,22,2,1,0,1,0,2,2.0,0,3,,,101.9276186,2,22,2,1,0,1,0,2,2,3,3
2019,145.5197041,4,43,3,0,0,0,0,0,2.0,0,2,,,145.5197041,4,43,3,2,,,,2,2,2,2
2019,50.74706239,11,112,2,0,0,0,0,0,2.0,0,3,,,50.74706239,11,112,2,2,,,,2,2,3,3
2019,14.63873999,5,54,4,0,0,0,0,0,2.0,0,2,,,14.63873999,5,54,4,2,,,,2,3,2,2
2019,113.1432866,2,22,2,0,0,0,0,0,2.0,0,3,,,113.1432866,2,22,2,2,,,,2,2,3,3
2019,428.8684779,3,31,1,0,0,0,0,0,2.0,0,1,,,428.8684779,3,31,1,2,,,,2,3,1,1
2019,86.40830809,2,23,3,0,0,0,0,0,2.0,0,3,,,86.40830809,2,23,3,2,,,,2,2,4,2
2019,1.221496856,13,135,5,1,1,0,0,1,2.0,0,4,,,1.221496856,13,135,5,1,1,0,0,2,2,5,4
2019,1.221496856,13,135,5,1,0,1,0,2,2.0,0,4,,,1.221496856,13,135,5,1,0,1,0,2,3,4,3
2019,102.7507608,9,92,2,0,0,0,0,0,2.0,0,2,,,102.7507608,9,92,2,2,,,,2,3,3,2
2019,1.239692683,13,135,5,1,1,0,0,1,2.0,0,5,,,1.239692683,13,135,5,1,1,0,0,2,2,5,5
2019,1.221496856,13,135,5,1,1,0,0,1,2.0,1,4,,,1.221496856,13,135,5,1,1,0,0,2,1,5,3
2019,1.221496856,13,135,5,1,1,0,0,1,2.0,0,4,,,1.221496856,13,135,5,1,1,0,0,2,2,4,3
2019,1.219655601,13,135,5,1,1,0,0,1,2.0,0,2,,,1.219655601,13,135,5,1,1,0,0,2,2,2,2
2019,5.26623126,13,135,5,1,0,1,0,2,2.0,0,4,,,5.26623126,13,135,5,1,0,1,0,2,2,4,4
2019,102.7507608,9,92,2,0,0,0,0,0,2.0,0,2,,,102.7507608,9,92,2,2,,,,2,3,2,2
2019,185.2078228,2,21,1,0,0,0,0,0,2.0,0,4,,,185.2078228,2,21,1,2,,,,2,2,4,3
2019,14.63873999,5,54,4,0,0,0,0,0,2.0,0,2,,,14.63873999,5,54,4,2,,,,2,2,2,2
2019,185.2078228,2,21,1,0,0,0,0,0,,0,5,,,185.2078228,2,21,1,2,,,,,3,5,5
2019,2.0,6,65,5,1,0,1,0,2,2.0,0,4,,,2,6,65,5,1,0,1,0,2,2,5,4
2019,485.2554946,6,62,2,0,0,0,0,0,,0,3,,,485.2554946,6,62,2,2,,,,,3,3,3
2019,2.021739064,13,135,5,1,0,1,0,2,2.0,0,4,,,2.021739064,13,135,5,1,0,1,0,2,3,4,3
2019,173.6098184,3,32,2,0,0,0,0,0,2.0,0,3,,,173.6098184,3,32,2,2,,,,2,2,3,3
2019,102.7507608,9,92,2,0,0,0,0,0,2.0,0,5,,,102.7507608,9,92,2,2,,,,2,2,5,5
2019,1.286838876,6,65,5,1,0,1,0,2,2.0,0,4,,,1.286838876,6,65,5,1,0,1,0,2,2,4,4
2019,400.2307378,13,132,2,0,0,0,0,0,2.0,0,3,,,400.2307378,13,132,2,2,,,,2,2,3,3
2019,20.10884601,1,11,1,0,0,0,0,0,2.0,0,3,,,20.10884601,1,11,1,2,,,,2,2,2,4
2019,9.948814145,1,12,2,0,0,0,0,0,2.0,0,4,,,9.948814145,1,12,2,2,,,,2,3,4,4
2019,91.52805065,4,43,3,1,1,0,1,4,4.0,0,5,,,91.52805065,4,43,3,1,1,0,1,4,2,5,5
2019,205.587279,2,21,1,0,0,0,0,0,2.0,0,3,,,205.587279,2,21,1,2,,,,2,3,3,3
2019,5.526006545,1,13,3,0,0,0,0,0,2.0,0,5,,,5.526006545,1,13,3,2,,,,2,2,5,5
2019,173.6098184,3,32,2,1,0,1,0,2,2.0,0,3,,,173.6098184,3,32,2,1,0,1,0,2,2,3,3
2019,5.53434889,1,13,3,0,0,0,0,0,2.0,0,3,,,5.53434889,1,13,3,2,,,,2,2,3,3
2019,12.64793306,1,11,1,0,0,0,0,0,2.0,0,3,,,12.64793306,1,11,1,2,,,,2,2,3,3
2019,49.93878493,5,53,3,0,0,0,0,0,2.0,0,5,,,49.93878493,5,53,3,2,,,,2,3,5,5
2019,9.254260902,10,104,4,1,0,1,0,2,2.0,1,4,,,9.254260902,10,104,4,1,0,1,0,2,1,4,3
2019,9.948814145,1,12,2,0,0,0,0,0,2.0,0,3,,,9.948814145,1,12,2,2,,,,2,2,3,3
2019,485.2554946,6,62,2,0,0,0,0,0,2.0,0,4,,,485.2554946,6,62,2,2,,,,2,3,4,4
2019,9.948814145,1,12,2,1,1,0,0,1,2.0,0,3,,,9.948814145,1,12,2,1,1,0,0,2,2,3,3
2019,218.1039693,11,111,1,0,0,0,0,0,2.0,0,5,,,218.1039693,11,111,1,2,,,,2,3,5,5
2019,13.34723845,11,114,4,1,1,0,0,1,2.0,0,3,,,13.34723845,11,114,4,1,1,0,0,2,2,3,3
2019,50.28405141,12,123,3,1,0,1,0,2,2.0,0,3,,,50.28405141,12,123,3,1,0,1,0,2,2,3,3
2019,5.274181435,13,135,5,1,1,0,0,1,2.0,0,4,,,5.274181435,13,135,5,1,1,0,0,2,2,4,3
2019,80.21761035,13,134,4,1,1,0,0,1,2.0,0,3,,,80.21761035,13,134,4,1,1,0,0,2,2,3,3
2019,5.274181435,13,135,5,1,1,0,0,1,2.0,0,4,,,5.274181435,13,135,5,1,1,0,0,2,2,5,4
2019,9.948814145,1,12,2,0,0,0,0,0,2.0,0,4,,,9.948814145,1,12,2,2,,,,2,3,3,4
2019,205.587279,2,21,1,0,0,0,0,0,2.0,0,4,,,205.587279,2,21,1,2,,,,2,2,3,4
2019,5.26623126,13,135,5,1,1,0,0,1,2.0,0,2,,,5.26623126,13,135,5,1,1,0,0,2,2,3,2
2019,3854.803181,4,41,1,0,0,0,0,0,2.0,0,3,,,3854.803181,4,41,1,2,,,,2,3,3,3
2019,1.30600806,6,65,5,1,1,0,0,1,2.0,0,3,,,1.30600806,6,65,5,1,1,0,0,2,2,3,3
2019,5.274181435,13,135,5,1,1,0,0,1,2.0,0,5,,,5.274181435,13,135,5,1,1,0,0,2,2,5,5
2019,2212.362532,6,61,1,0,0,0,0,0,,0,3,,,2212.362532,6,61,1,2,,,,,3,3,3
2019,821.8260573,9,91,1,0,0,0,0,0,2.0,0,5,,,821.8260573,9,91,1,2,,,,2,3,5,5
2019,205.587279,2,21,1,0,0,0,0,0,2.0,0,2,,,205.587279,2,21,1,2,,,,2,2,2,1
2019,3854.803181,4,41,1,0,0,0,0,0,,0,3,,,3854.803181,4,41,1,2,,,,,3,3,3
2019,2.140832826,5,55,5,0,0,0,0,0,2.0,0,3,,,2.140832826,5,55,5,2,,,,2,2,3,3
2019,98.55184249,9,92,2,0,0,0,0,0,2.0,0,5,,,98.55184249,9,92,2,2,,,,2,2,5,5
2019,166.0658299,13,133,3,1,1,0,0,1,2.0,0,4,,,166.0658299,13,133,3,1,1,0,0,2,2,4,3
2019,6.257541346,1,12,2,0,0,0,0,0,2.0,0,4,,,6.257541346,1,12,2,2,,,,2,3,3,4
2019,8.395060478,11,114,4,0,0,0,0,0,2.0,0,4,,,8.395060478,11,114,4,2,,,,2,2,4,3
2019,13.10503172,4,44,4,1,0,1,0,2,2.0,0,5,,,13.10503172,4,44,4,1,0,1,0,2,2,5,5
2019,132.4093137,12,122,2,1,0,0,1,3,2.0,0,5,,,132.4093137,12,122,2,1,0,0,1,2,3,5,5
2019,49.93878493,5,53,3,0,0,0,0,0,2.0,0,4,,,49.93878493,5,53,3,2,,,,2,3,4,4
2019,124.1097172,8,83,3,1,0,0,1,3,2.0,0,4,,,124.1097172,8,83,3,1,0,0,1,2,2,5,2
2019,17.76416629,3,34,4,1,0,1,0,2,2.0,0,4,,,17.76416629,3,34,4,1,0,1,0,2,2,4,3
2019,132.4093137,12,122,2,0,0,0,0,0,2.0,0,3,,,132.4093137,12,122,2,2,,,,2,2,3,3
2019,173.6098184,3,32,2,0,0,0,0,0,2.0,0,2,,,173.6098184,3,32,2,2,,,,2,3,2,2
2019,773.3282266,13,131,1,0,0,0,0,0,2.0,0,2,,,773.3282266,13,131,1,2,,,,2,2,2,2
2019,774.4956829,13,131,1,0,0,0,0,0,,0,4,,,774.4956829,13,131,1,2,,,,,3,4,4
2019,25.80794009,2,24,4,0,0,0,0,0,2.0,0,3,,,25.80794009,2,24,4,2,,,,2,3,3,3
2019,2451.629039,12,121,1,0,0,0,0,0,,0,3,,,2451.629039,12,121,1,2,,,,,3,3,3
2019,1364.79796,13,131,1,0,0,0,0,0,,0,3,,,1364.79796,13,131,1,2,,,,,3,3,3
2019,4.010959208,2,25,5,0,0,0,0,0,2.0,1,3,,,4.010959208,2,25,5,2,,,,2,1,3,3
2019,124.1097172,8,83,3,0,0,0,0,0,2.0,0,3,,,124.1097172,8,83,3,2,,,,2,3,3,3
2019,1.237824,13,135,5,1,1,0,0,1,2.0,0,5,,,1.237824,13,135,5,1,1,0,0,2,2,5,5
2019,1.239692683,13,135,5,1,1,0,0,1,2.0,0,4,,,1.239692683,13,135,5,1,1,0,0,2,2,4,4
2019,91.52805065,4,43,3,0,0,0,0,0,2.0,0,4,,,91.52805065,4,43,3,2,,,,2,2,4,4
2019,50.53092744,13,134,4,0,0,0,0,0,2.0,0,4,,,50.53092744,13,134,4,2,,,,2,2,4,3
2019,9.752498612,1,13,3,0,0,0,0,0,2.0,0,4,,,9.752498612,1,13,3,2,,,,2,2,4,4
2019,9.948814145,1,12,2,0,0,0,0,0,2.0,0,3,,,9.948814145,1,12,2,2,,,,2,2,3,3
2019,218.1039693,11,111,1,0,0,0,0,0,2.0,0,4,,,218.1039693,11,111,1,2,,,,2,2,4,4
2019,8.785752908,1,13,3,0,0,0,0,0,2.0,0,4,,,8.785752908,1,13,3,2,,,,2,2,4,4
2019,102.7507608,9,92,2,0,0,0,0,0,2.0,0,4,,,102.7507608,9,92,2,2,,,,2,2,4,3
2019,2212.362532,6,61,1,0,0,0,0,0,,0,4,,,2212.362532,6,61,1,2,,,,,3,3,4
2019,162.0772713,3,33,3,0,0,0,0,0,2.0,0,2,,,162.0772713,3,33,3,2,,,,2,2,3,2
2019,205.587279,2,21,1,0,0,0,0,0,,0,3,,,205.587279,2,21,1,2,,,,,3,3,3
2019,9.392115481,10,104,4,0,0,0,0,0,2.0,0,4,,,9.392115481,10,104,4,2,,,,2,2,4,4
2019,2.216565668,1,14,4,0,0,0,0,0,2.0,0,2,,,2.216565668,1,14,4,2,,,,2,3,3,1
2019,33.77312505,7,72,2,1,1,0,0,1,2.0,0,3,,,33.77312505,7,72,2,1,1,0,0,2,2,3,3
2019,205.587279,2,21,1,0,0,0,0,0,2.0,0,2,,,205.587279,2,21,1,2,,,,2,3,3,2
2019,81.01644621,8,82,2,0,0,0,0,0,2.0,0,4,,,81.01644621,8,82,2,2,,,,2,2,3,5
2019,2.426383737,8,85,5,1,1,0,0,1,2.0,0,4,,,2.426383737,8,85,5,1,1,0,0,2,2,4,3
2019,166.0658299,13,133,3,0,0,0,0,0,2.0,0,4,,,166.0658299,13,133,3,2,,,,2,2,4,4
2019,1.394161265,1,14,4,0,0,0,0,0,2.0,0,3,,,1.394161265,1,14,4,2,,,,2,2,3,3
2019,205.587279,2,21,1,0,0,0,0,0,,0,2,,,205.587279,2,21,1,2,,,,,3,3,2
2019,205.587279,2,21,1,0,0,0,0,0,,0,2,,,205.587279,2,21,1,2,,,,,3,2,2
2019,292.6372745,13,133,3,0,0,0,0,0,2.0,0,4,,,292.6372745,13,133,3,2,,,,2,3,5,3
2019,47.15035562,10,103,3,1,0,1,0,2,2.0,0,4,,,47.15035562,10,103,3,1,0,1,0,2,2,4,4
2019,242.1031732,11,111,1,0,0,0,0,0,2.0,0,3,,,242.1031732,11,111,1,2,,,,2,3,3,3
2019,17.76416629,3,34,4,0,0,0,0,0,2.0,0,4,,,17.76416629,3,34,4,2,,,,2,2,4,3
2019,166.0658299,13,133,3,1,0,1,0,2,2.0,0,4,,,166.0658299,13,133,3,1,0,1,0,2,2,3,4
2019,35.49523143,5,52,2,0,0,0,0,0,2.0,0,5,,,35.49523143,5,52,2,2,,,,2,2,5,5
2019,227.1229792,13,132,2,0,0,0,0,0,2.0,0,2,,,227.1229792,13,132,2,2,,,,2,2,1,2
2019,383.801503,10,101,1,0,0,0,0,0,2.0,0,3,,,383.801503,10,101,1,2,,,,2,3,3,3
2019,6.266988053,1,12,2,0,0,0,0,0,2.0,0,2,,,6.266988053,1,12,2,2,,,,2,2,2,2
2019,2212.362532,6,61,1,0,0,0,0,0,,0,3,,,2212.362532,6,61,1,2,,,,,3,3,3
2019,124.1097172,8,83,3,1,0,0,1,3,2.0,0,4,,,124.1097172,8,83,3,1,0,0,1,2,3,5,4
2019,9.254260902,10,104,4,0,0,0,0,0,2.0,0,4,,,9.254260902,10,104,4,2,,,,2,2,5,4
2019,201.1948097,7,71,1,0,0,0,0,0,2.0,0,4,,,201.1948097,7,71,1,2,,,,2,3,5,3
2019,179.9115432,3,33,3,1,0,0,1,3,2.0,0,4,,,179.9115432,3,33,3,1,0,0,1,2,2,4,4
2019,4.308182196,6,64,4,1,1,0,0,1,2.0,0,2,,,4.308182196,6,64,4,1,1,0,0,2,2,3,1
2019,205.587279,2,21,1,0,0,0,0,0,,0,3,,,205.587279,2,21,1,2,,,,,3,3,3
2019,26.19238383,2,24,4,0,0,0,0,0,2.0,1,4,,,26.19238383,2,24,4,2,,,,2,1,5,2
2019,147.6874145,4,43,3,0,0,0,0,0,2.0,0,3,,,147.6874145,4,43,3,2,,,,2,2,3,3
2019,13.54606339,11,114,4,0,0,0,0,0,2.0,0,3,,,13.54606339,11,114,4,2,,,,2,3,3,3
2019,187.9667407,2,21,1,0,0,0,0,0,2.0,0,3,,,187.9667407,2,21,1,2,,,,2,3,3,3
2019,468.2723232,4,42,2,1,0,0,1,3,3.0,0,3,,,468.2723232,4,42,2,1,0,0,1,3,2,3,3
2019,205.587279,2,21,1,0,0,0,0,0,,0,2,,,205.587279,2,21,1,2,,,,,3,3,1
2019,485.2554946,6,62,2,0,0,0,0,0,,0,1,,,485.2554946,6,62,2,2,,,,,3,1,1
2019,51.71628064,8,82,2,0,0,0,0,0,2.0,0,3,,,51.71628064,8,82,2,2,,,,2,3,3,3
2019,50.53092744,13,134,4,1,0,0,1,3,2.0,0,5,,,50.53092744,13,134,4,1,0,0,1,2,3,5,5
2019,406.1927093,13,132,2,0,0,0,0,0,2.0,0,3,,,406.1927093,13,132,2,2,,,,2,3,3,3
2019,527.5420551,4,42,2,0,0,0,0,0,2.0,0,4,,,527.5420551,4,42,2,2,,,,2,2,5,3
2019,4.973900554,11,115,5,1,0,1,0,2,2.0,0,3,,,4.973900554,11,115,5,1,0,1,0,2,3,3,3
2019,10.09701502,1,12,2,0,0,0,0,0,2.0,0,4,,,10.09701502,1,12,2,2,,,,2,2,5,3
2019,50.957205,8,82,2,1,1,0,0,1,2.0,0,2,,,50.957205,8,82,2,1,1,0,0,2,2,3,2
2019,2212.362532,6,61,1,0,0,0,0,0,2.0,0,2,,,2212.362532,6,61,1,2,,,,2,2,2,2
2019,208.6497762,2,21,1,0,0,0,0,0,2.0,0,2,,,208.6497762,2,21,1,2,,,,2,2,3,2
2019,147.6874145,4,43,3,0,0,0,0,0,2.0,0,4,,,147.6874145,4,43,3,2,,,,2,2,4,3
2019,165.8155062,13,133,3,0,0,0,0,0,2.0,0,3,,,165.8155062,13,133,3,2,,,,2,2,3,3
2019,162.0772713,3,33,3,0,0,0,0,0,2.0,0,2,,,162.0772713,3,33,3,2,,,,2,2,2,2
2019,134.3083891,10,102,2,0,0,0,0,0,2.0,0,5,,,134.3083891,10,102,2,2,,,,2,2,5,5
2019,119.283843,12,122,2,0,0,0,0,0,2.0,0,3,,,119.283843,12,122,2,2,,,,2,2,3,3
2019,2212.362532,6,61,1,0,0,0,0,0,2.0,0,2,,,2212.362532,6,61,1,2,,,,2,2,3,2
2019,2488.149329,12,121,1,0,0,0,0,0,2.0,0,3,,,2488.149329,12,121,1,2,,,,2,2,3,3
2019,263.6287261,13,133,3,0,0,0,0,0,2.0,0,5,,,263.6287261,13,133,3,2,,,,2,3,5,5
2019,176.1959686,3,32,2,0,0,0,0,0,2.0,0,3,,,176.1959686,3,32,2,2,,,,2,2,2,4
2019,296.9964977,13,133,3,0,0,0,0,0,2.0,0,4,,,296.9964977,13,133,3,2,,,,2,2,4,4
2019,205.587279,2,21,1,0,0,0,0,0,2.0,0,4,,,205.587279,2,21,1,2,,,,2,2,4,4
2019,50.957205,8,82,2,0,0,0,0,0,2.0,0,3,,,50.957205,8,82,2,2,,,,2,2,3,3
2019,4.010959208,2,25,5,1,1,0,0,1,2.0,0,4,,,4.010959208,2,25,5,1,1,0,0,2,2,5,4
2019,13.54606339,11,114,4,0,0,0,0,0,2.0,0,3,,,13.54606339,11,114,4,2,,,,2,2,3,3
2019,51.50300768,11,112,2,0,0,0,0,0,2.0,0,4,,,51.50300768,11,112,2,2,,,,2,3,4,3
2019,176.1959686,3,32,2,0,0,0,0,0,2.0,0,2,,,176.1959686,3,32,2,2,,,,2,2,3,2
2019,2302.704145,12,121,1,0,0,0,0,0,2.0,0,4,,,2302.704145,12,121,1,2,,,,2,3,4,4
2019,173.6098184,3,32,2,0,0,0,0,0,2.0,0,3,,,173.6098184,3,32,2,2,,,,2,3,3,3
2019,1.292653468,1,15,5,1,1,0,0,1,3.0,0,4,,,1.292653468,1,15,5,1,1,0,0,3,3,4,4
2019,10.09701502,1,12,2,1,0,0,1,3,2.0,0,2,,,10.09701502,1,12,2,1,0,0,1,2,2,3,2
2019,8.242718844,4,44,4,1,0,0,1,3,2.0,0,3,,,8.242718844,4,44,4,1,0,0,1,2,2,3,3
2019,4.558647846,6,64,4,0,0,0,0,0,2.0,0,4,,,4.558647846,6,64,4,2,,,,2,3,4,3
2019,2245.318628,6,61,1,0,0,0,0,0,2.0,0,4,,,2245.318628,6,61,1,2,,,,2,2,5,3
2019,51.71628064,8,82,2,1,0,0,1,3,2.0,0,5,,,51.71628064,8,82,2,1,0,0,1,2,2,5,5
2019,55.62567136,8,81,1,1,0,1,0,2,2.0,0,3,,,55.62567136,8,81,1,1,0,1,0,2,2,3,3
2019,21.27791802,1,11,1,1,0,0,1,3,2.0,0,4,,,21.27791802,1,11,1,1,0,0,1,2,2,5,4
2019,8.916628435,1,13,3,0,0,0,0,0,2.0,0,5,,,8.916628435,1,13,3,2,,,,2,3,5,5
2019,5.274181435,13,135,5,1,0,0,1,3,2.0,0,5,,,5.274181435,13,135,5,1,0,0,1,2,2,5,5
2019,5.274181435,13,135,5,1,0,0,1,3,2.0,0,5,,,5.274181435,13,135,5,1,0,0,1,2,2,5,5
2019,4.308182196,6,64,4,1,1,0,0,1,2.0,0,5,,,4.308182196,6,64,4,1,1,0,0,2,2,5,5
