Q41,Q41A1,Q41A2,Q41A3,Q40,Q33,Q42A1,Q42A3,Q42A5,D_IND,D_INDSIZE1,WT,year
1,0,0,1,2,2,4,3,3,4,41,41.31040425,2020
1,0,1,1,1,2,4,3,4,4,41,38.56607016,2020
2, , , ,1,2,4,4,4,4,41,39.75640192,2020
1,0,0,1,2,2,4,4,3,4,41,41.31040425,2020
2, , , ,1,2,4,4,4,4,41,38.56607016,2020
2, , , ,1,2,3,3,4,4,41,38.56607016,2020
1,0,1,1,1,2,4,3,3,4,41,38.56607016,2020
1,0,0,1,2,2,4,4,3,4,42,7.714765822,2020
2, , , ,1,2,4,3,3,4,42,7.714765822,2020
2, , , ,1,2,4,3,3,4,42,7.714765822,2020
2, , , ,2,3,4,3,3,4,42,7.483780865,2020
2, , , ,1,2,4,3,3,4,42,8.016321382,2020
2, , , ,1,2,3,3,3,4,42,7.714765822,2020
2, , , ,2,2,4,3,3,4,42,8.016321382,2020
2, , , ,1,2,5,4,3,4,42,8.016321382,2020
2, , , ,1,2,4,4,3,4,42,7.714765822,2020
2, , , ,2,3,4,3,3,4,42,7.714765822,2020
1,0,0,1,2,2,4,4,3,4,42,8.016321382,2020
2, , , ,2,3,3,3,3,4,42,8.016321382,2020
2, , , ,2,3,4,3,3,4,42,8.016321382,2020
2, , , ,2,3,4,3,3,4,42,8.016321382,2020
2, , , ,2,2,4,4,3,4,42,7.483780865,2020
2, , , ,2,3,4,3,3,4,42,7.714765822,2020
2, , , ,1,2,5,4,4,4,42,7.483780865,2020
2, , , ,2,3,4,3,3,4,42,8.016321382,2020
2, , , ,2,3,4,3,3,4,42,7.483780865,2020
2, , , ,2,3,3,3,3,4,42,8.016321382,2020
2, , , ,1,3,4,3,2,4,42,7.483780865,2020
2, , , ,2,2,4,3,3,4,42,8.016321382,2020
2, , , ,2,3,4,3,3,4,42,8.016321382,2020
2, , , ,2,2,4,4,3,4,42,7.714765822,2020
2, , , ,2,3,4,3,3,4,42,8.016321382,2020
2, , , ,1,3,3,3,3,4,42,8.016321382,2020
2, , , ,2,3,4,3,3,4,42,7.483780865,2020
2, , , ,1,3,4,3,3,4,42,7.483780865,2020
2, , , ,1,2,3,4,2,4,42,7.714765822,2020
2, , , ,2,3,4,4,3,4,42,8.016321382,2020
2, , , ,2,3,3,3,3,4,42,8.016321382,2020
2, , , ,2,3,4,4,3,4,42,8.016321382,2020
2, , , ,2,3,3,3,3,4,42,8.016321382,2020
2, , , ,2,2,4,4,3,4,42,8.016321382,2020
1,0,0,1,1,2,3,3,4,4,43,1.996764143,2020
1,0,0,1,1,2,4,3,3,4,43,1.921650472,2020
2, , , ,2,3,4,4,4,4,43,1.864115044,2020
2, , , ,2,2,4,4,3,4,43,1.996764143,2020
2, , , ,2,3,3,3,3,4,43,1.864115044,2020
2, , , ,1,2,4,3,3,4,43,1.996764143,2020
1,0,0,1,1,2,4,3,3,4,43,1.921650472,2020
2, , , ,2,3,4,4,3,4,43,1.921650472,2020
2, , , ,1,2,5,4,3,4,43,1.996764143,2020
2, , , ,2,3,3,3,3,4,43,1.921650472,2020
1,0,0,1,2,2,4,3,4,4,43,1.921650472,2020
1,0,1,0,2,2,4,3,2,4,43,1.921650472,2020
2, , , ,2,3,4,3,3,4,43,1.921650472,2020
2, , , ,1,3,4,3,3,4,43,1.996764143,2020
2, , , ,2,2,4,4,3,4,43,1.996764143,2020
2, , , ,1,2,4,4,3,4,43,1.996764143,2020
2, , , ,2,2,4,4,3,4,43,1.996764143,2020
2, , , ,2,2,3,3,3,4,43,1.864115044,2020
2, , , ,2,3,4,3,3,4,43,1.921650472,2020
2, , , ,1,2,4,3,2,4,43,1.996764143,2020
1,0,0,1,2,2,4,4,3,4,43,1.996764143,2020
2, , , ,1,2,4,4,3,4,43,1.921650472,2020
1,1,0,1,1,1,4,5,5,4,43,1.325353934,2020
1,1,1,1,2,1,4,4,4,4,43,1.325353934,2020
1,0,0,1,1,2,4,4,3,99,43,1.27549717,2020
1,0,1,1,1,1,5,4,5,99,43,1.27549717,2020
1,0,1,1,1,1,4,3,4,4,43,1.325353934,2020
1,0,1,1,1,2,4,5,5,4,43,1.325353934,2020
1,0,1,1,2,1,4,3,4,4,43,1.325353934,2020
1,1,1,1,2,1,5,5,4,4,43,1.325353934,2020
2, , , ,1,3,4,3,4,5,51,42.54300967,2020
2, , , ,1,2,4,3,4,5,51,42.54300967,2020
1,0,1,1,1,2,5,3,4,5,51,41.26924511,2020
2, , , ,1,3,4,3,4,5,51,42.54300967,2020
2, , , ,1,2,4,4,3,5,51,42.54300967,2020
2, , , ,1,2,4,2,2,5,51,53.4400961,2020
1,0,1,1,1,2,5,4,5,5,51,41.26924511,2020
2, , , ,1,2,3,3,4,5,51,41.26924511,2020
2, , , , ,2,4,4,3,5,51,42.54300967,2020
2, , , ,1,3,4,3,3,5,51,41.26924511,2020
2, , , ,1,2,4,3,3,5,51,42.54300967,2020
2, , , ,1,2,4,3,3,5,51,42.54300967,2020
2, , , ,1,3,4,4,3,5,51,41.26924511,2020
2, , , ,1,2,4,3,3,5,51,44.20593521,2020
2, , , ,2,2,4,4,3,5,51,42.54300967,2020
2, , , ,1,3,4,4,4,5,51,41.26924511,2020
2, , , ,1,2,4,3,3,5,51,44.20593521,2020
2, , , , ,2,4,4,3,5,51,42.54300967,2020
2, , , ,2,2,4,3,3,5,51,44.20593521,2020
2, , , ,1,3,4,4,3,5,51,53.4400961,2020
2, , , , ,2,4,5,4,5,51,42.54300967,2020
2, , , ,1,2,4,4,4,5,51,41.26924511,2020
2, , , ,2,3,4,3,3,5,51,41.26924511,2020
2, , , ,2,3,3,3,2,5,51,44.20593521,2020
2, , , ,1,2,3,3,3,5,51,44.20593521,2020
2, , , ,1,3,3,3,4,5,51,44.20593521,2020
2, , , ,1,3,3,3,3,5,51,41.26924511,2020
2, , , ,1,2,3,3,4,5,51,42.54300967,2020
1,0,0,1,1,3,5,3,2,5,51,41.26924511,2020
2, , , ,2,3,4,3,3,5,52,7.695996889,2020
2, , , ,2,3,4,4,4,5,52,7.695996889,2020
2, , , ,2,3,4,3,3,5,52,7.465573885,2020
2, , , ,1,3,4,3,3,5,52,7.465573885,2020
1,0,0,1,1,2,4,3,4,5,52,7.695996889,2020
2, , , ,2,3,4,3,3,99,52,7.996818806,2020
2, , , ,1,2,4,3,3,5,52,7.465573885,2020
1,0,0,1,2,2,5,5,3,5,52,7.465573885,2020
2, , , ,1,2,4,3,3,5,52,7.465573885,2020
1,0,0,1,1,2,4,3,4,5,52,7.695996889,2020
1,0,0,1,2,2,4,4,3,99,53,2.092724485,2020
2, , , ,1,2,4,3,3,6,61,27.85413298,2020
1,0,0,1,1,2,4,4,4,6,61,27.85413298,2020
2, , , ,1,2,4,3,3,6,61,27.02016265,2020
2, , , ,2,2,3,4,3,6,61,27.02016265,2020
2, , , ,1,3,4,3,3,6,61,28.94289819,2020
2, , , ,1,1,3,3,3,6,61,28.94289819,2020
2, , , ,1,1,3,3,3,6,61,27.85413298,2020
2, , , ,1,2,4,4,3,6,61,27.02016265,2020
2, , , ,1,3,3,3,3,6,61,27.02016265,2020
1,0,0,1,1,2,4,3,3,6,61,27.85413298,2020
2, , , ,1,3,4,3,3,6,61,28.94289819,2020
2, , , ,1,2,3,3,3,6,61,27.85413298,2020
1,0,0,1,1,2,4,3,4,6,62,7.094953277,2020
2, , , ,1,2,3,3,3,6,62,6.882525898,2020
2, , , ,2,3,3,3,3,6,62,7.37228154,2020
2, , , ,1,2,4,4,4,6,62,7.094953277,2020
2, , , ,2,3,3,3,3,6,62,7.37228154,2020
2, , , ,1,3,3,3,3,99,62,9.546465725,2020
1,0,0,1,1,2,3,4,3,6,62,7.094953277,2020
2, , , ,2,3,4,3,3,6,62,7.37228154,2020
1,0,0,1,2,2,4,4,3,6,62,6.882525898,2020
2, , , ,2,3,4,3,3,6,62,7.37228154,2020
1,0,0,1,1,1,4,3,4,6,62,7.37228154,2020
1,0,0,1,1,1,4,3,4,6,62,7.37228154,2020
1,0,1,1,1,1,4,3,5,6,62,7.37228154,2020
1,0,1,0,1,1,5,4,5,6,62,7.37228154,2020
2, , , ,1,2,4,4,3,6,62,6.882525898,2020
2, , , ,2,2,4,4,3,6,62,7.094953277,2020
2, , , ,1,2,5,4,4,6,62,7.37228154,2020
2, , , ,2,3,3,3,3,99,63,1.849255198,2020
2, , , ,2,1,4,3,3,99,63,1.293420681,2020
2, , , ,1,3,3,3,3,7,71,46.43130667,2020
2, , , , ,2,4,5,4,99,71,36.96339776,2020
2, , , ,2,3,4,4,3,99,71,35.85669031,2020
2, , , ,1,3,3,3,3,99,72,6.763173716,2020
2, , , ,1,2,4,3,3,99,72,5.06650122,2020
2, , , ,1,3,3,3,3,7,72,5.222877468,2020
1,0,0,1,1,2,4,3,4,7,72,5.222877468,2020
1,0,0,1,2,2,4,4,3,7,72,5.222877468,2020
2, , , ,1,2,3,3,3,99,72,5.06650122,2020
2, , , ,1,2,4,4,3,99,73,1.514803804,2020
1,0,0,1,2,2,5,5,4,99,73,1.457820371,2020
2, , , ,2,2,4,4,4,99,81,40.81838511,2020
2, , , ,2,3,4,4,3,8,81,31.52209788,2020
1,0,0,1,1,2,4,4,3,99,82,6.903810089,2020
1,0,0,1,3,2,4,4,4,99,82,6.697105658,2020
2, , , ,1,2,4,4,3,99,82,6.697105658,2020
1,1,0,0,2,2,4,4,4,99,82,7.173666928,2020
1,1,1,1,2,1,5,4,5,99,83,1.930851817,2020
2, , , ,2,3,3,3,3,99,91,3.962504872,2020
2, , , , ,2,4,5,4,99,91,4.084806559,2020
2, , , ,2,3,4,4,3,99,91,3.962504872,2020
1,0,0,1,2,2,4,4,3,99,92,3.969827738,2020
1,0,0,1,2,2,4,4,3,99,92,3.969827738,2020
2, , , ,2,3,4,3,3,99,93,1.58782601,2020
1,1,0,1,1,1,5,5,5,99,93,1.840243386,2020
2, , , ,2,3,4,3,3,99,101,25.23907383,2020
2, , , ,1,2,4,4,3,99,101,23.56239087,2020
1,0,0,1,2,2,4,3,3,10,102,4.263387359,2020
1,0,0,1,2,2,4,3,3,10,102,4.430035082,2020
2, , , ,2,3,4,3,3,10,102,4.263387359,2020
2, , , ,1,2,4,4,3,99,102,4.13573885,2020
1,0,1,0,1,2,4,3,5,10,102,4.430035082,2020
1,0,0,1,1,2,4,3,4,10,102,4.263387359,2020
1,0,1,0,1,2,4,3,4,10,102,4.430035082,2020
2, , , ,2,3,3,3,3,10,102,4.263387359,2020
2, , , ,1,2,3,3,3,10,103,1.414942145,2020
2, , , ,2,2,4,3,3,10,103,1.414942145,2020
1,0,0,1,1,2,3,3,3,99,103,1.458613968,2020
2, , , ,1,2,4,3,3,99,103,1.515628421,2020
2, , , ,1,3,4,3,3,10,103,1.414942145,2020
1,0,1,1,1,2,4,3,5,10,103,1.385904072,2020
1,0,0,1,1,2,4,3,3,10,103,1.385904072,2020
2, , , ,2,3,3,3,3,99,103,1.34440923,2020
1,0,1,1,1,1,4,4,5,10,103,1.385904072,2020
1,0,0,1,1,1,4,3,3,11,111,34.47654789,2020
2, , , ,2,2,4,3,3,11,111,33.44429829,2020
2, , , ,2,3,4,3,3,11,111,35.82417074,2020
1,0,0,1,1,2,4,3,3,11,111,34.47654789,2020
2, , , ,1,2,5,3,2,11,111,33.44429829,2020
2, , , ,2,2,4,3,4,11,111,35.82417074,2020
2, , , ,1,3,3,3,3,11,111,35.82417074,2020
2, , , ,1,2,4,4,3,11,111,33.44429829,2020
1,0,0,1,1,2,5,4,3,11,111,34.47654789,2020
2, , , ,1,3,4,3,3,11,111,35.82417074,2020
2, , , ,1,2,4,4,3,11,111,33.44429829,2020
2, , , ,1,2,5,2,3,11,111,34.47654789,2020
1,0,1,1,1,2,4,2,5,99,112,7.273390725,2020
2, , , ,1,3,3,3,3,99,112,6.790204601,2020
2, , , ,1,2,4,4,3,99,112,6.790204601,2020
2, , , ,1,2,4,3,4,99,112,7.273390725,2020
1,0,0,1,2,2,4,4,3,99,113,1.922848332,2020
2, , , ,2,2,5,4,3,12,121,29.1298838,2020
2, , , ,1,3,4,3,3,12,121,31.20274558,2020
2, , , ,1,3,2,2,2,12,121,30.02897011,2020
2, , , ,1,3,3,3,3,12,121,30.02897011,2020
1,0,0,1,2,2,4,3,3,12,121,29.1298838,2020
2, , , ,1,3,3,2,3,12,121,30.02897011,2020
2, , , ,1,2,4,3,3,12,121,29.1298838,2020
2, , , ,2,3,3,3,3,12,121,31.20274558,2020
2, , , ,2,3,4,3,3,12,121,31.20274558,2020
2, , , ,1,2,4,3,3,12,121,30.02897011,2020
2, , , ,2,2,4,4,3,12,121,29.1298838,2020
2, , , ,2,3,3,3,3,12,121,31.20274558,2020
2, , , ,2,3,4,3,3,12,121,31.20274558,2020
1,1,0,0,2,2,4,4,4,12,121,31.20274558,2020
2, , , ,1,3,3,3,3,12,121,30.02897011,2020
2, , , ,2,3,3,3,3,12,121,31.20274558,2020
2, , , ,1,2,4,3,3,12,122,6.640121207,2020
2, , , ,1,2,4,3,3,12,122,6.640121207,2020
2, , , ,1,2,4,4,3,12,122,6.640121207,2020
2, , , ,1,2,4,3,3,12,122,7.112627504,2020
2, , , ,1,2,3,2,3,12,122,7.112627504,2020
2, , , ,1,2,4,4,3,12,122,6.640121207,2020
2, , , ,2,3,4,4,3,12,122,6.640121207,2020
2, , , ,2,3,4,4,3,12,122,6.640121207,2020
2, , , ,1,3,4,3,3,12,122,6.640121207,2020
2, , , ,1,3,3,3,3,12,122,6.845066829,2020
2, , , ,1,2,5,4,5,12,122,7.112627504,2020
2, , , ,1,2,3,2,2,12,122,7.112627504,2020
2, , , ,1,2,3,3,4,12,122,7.112627504,2020
1,0,0,1,1,2,3,4,3,12,122,6.845066829,2020
2, , , ,1,2,5,2,3,12,122,6.640121207,2020
2, , , ,1,3,3,3,3,12,122,6.845066829,2020
