year,weight,industry,industry_size,firm_size,it_org_any,it_org_internal,it_org_mixed,it_org_outsource,it_org_type,it_invest_share_std4,it_invest_share_pct,ai_use,proc_improve,innov_outcome,decision_improve,weight_raw,industry_raw,industry_size_raw,it_org_any_raw,it_org_internal_raw,it_org_mixed_raw,it_org_outsource_raw,it_invest_share_raw,ai_use_raw,proc_improve_raw,decision_improve_raw,innov_outcome_raw
2020,7.138625992,1,11,,0,0,0,0,0,1,,0,4,3,2,7.138625992,1,11,2,,,,1,2,4,2,3
2020,7.138625992,1,11,,0,0,0,0,0,1,,0,5,3,3,7.138625992,1,11,2,,,,1,2,5,3,3
2020,9.901691526,1,11,,0,0,0,0,0,1,,0,3,3,2,9.901691526,1,11,2,,,,1,3,3,2,3
2020,2.154726537,99,12,,0,0,0,0,0,1,,0,4,3,3,2.154726537,99,12,2,,,,1,2,4,3,3
2020,2.308055343,1,12,,0,0,0,0,0,1,,0,4,3,4,2.308055343,1,12,2,,,,1,3,4,4,3
2020,2.308055343,1,12,,0,0,0,0,0,1,,0,3,3,3,2.308055343,1,12,2,,,,1,2,3,3,3
2020,2.308055343,1,12,,0,0,0,0,0,2,,0,4,3,3,2.308055343,1,12,2,,,,2,2,4,3,3
2020,46.31072413,2,21,,1,0,0,1,3,1,,0,3,3,4,46.31072413,2,21,1,0,0,1,1,2,3,4,3
2020,44.92415182,2,21,,0,0,0,0,0,1,,0,4,3,3,44.92415182,2,21,2,,,,1,2,4,3,3
2020,44.92415182,2,21,,0,0,0,0,0,1,,0,4,3,3,44.92415182,2,21,2,,,,1,2,4,3,3
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,4,4,3,48.12092247,2,21,2,,,,1,2,4,3,4
2020,62.31242453,2,21,,0,0,0,0,0,1,,0,3,3,3,62.31242453,2,21,2,,,,1,2,3,3,3
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,3,3,4,48.12092247,2,21,2,,,,1,2,3,4,3
2020,46.31072413,2,21,,1,0,0,1,3,1,,0,4,3,5,46.31072413,2,21,1,0,0,1,1,2,4,5,3
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,3,3,3,48.12092247,2,21,2,,,,1,2,3,3,3
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,4,4,3,48.12092247,2,21,2,,,,1,2,4,3,4
2020,58.17288356,2,21,,0,0,0,0,0,1,,0,4,3,4,58.17288356,2,21,2,,,,1,2,4,4,3
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,3,3,2,48.12092247,2,21,2,,,,1,2,3,2,3
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,3,4,2,48.12092247,2,21,2,,,,1,2,3,2,4
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,3,4,4,48.12092247,2,21,2,,,,1,2,3,4,4
2020,46.31072413,2,21,,1,0,0,1,3,1,,0,3,3,4,46.31072413,2,21,1,0,0,1,1,2,3,4,3
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,4,4,2,48.12092247,2,21,2,,,,1,2,4,2,4
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,3,3,2,48.12092247,2,21,2,,,,1,2,3,2,3
2020,62.31242453,2,21,,0,0,0,0,0,1,,0,3,3,2,62.31242453,2,21,2,,,,1,2,3,2,3
2020,46.31072413,2,21,,1,0,0,1,3,1,,0,4,3,4,46.31072413,2,21,1,0,0,1,1,2,4,4,3
2020,46.31072413,2,21,,1,0,0,1,3,1,,0,4,3,3,46.31072413,2,21,1,0,0,1,1,2,4,3,3
2020,48.12092247,2,21,,1,0,1,1,4,1,,0,3,4,4,48.12092247,2,21,1,0,1,1,1,2,3,4,4
2020,59.96837454,99,21,,0,0,0,0,0,1,,0,3,4,3,59.96837454,99,21,2,,,,1,2,3,3,4
2020,58.17288356,2,21,,0,0,0,0,0,1,,0,4,3,3,58.17288356,2,21,2,,,,1,2,4,3,3
2020,44.92415182,2,21,,0,0,0,0,0,1,,0,5,3,3,44.92415182,2,21,2,,,,1,2,5,3,3
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,4,5,4,48.12092247,2,21,2,,,,1,2,4,4,5
2020,44.92415182,2,21,,1,0,0,1,3,1,,0,5,4,3,44.92415182,2,21,1,0,0,1,1,2,5,3,4
2020,48.12092247,2,21,,1,0,0,1,3,1,,0,3,3,3,48.12092247,2,21,1,0,0,1,1,2,3,3,3
2020,48.12092247,2,21,,1,0,0,1,3,1,,0,4,4,3,48.12092247,2,21,1,0,0,1,1,2,4,3,4
2020,44.92415182,2,21,,0,0,0,0,0,1,,0,5,3,3,44.92415182,2,21,2,,,,1,2,5,3,3
2020,48.12092247,2,21,,1,0,1,1,4,1,,0,4,5,4,48.12092247,2,21,1,0,1,1,1,2,4,4,5
2020,46.31072413,2,21,,1,0,0,1,3,1,,0,4,4,3,46.31072413,2,21,1,0,0,1,1,2,4,3,4
2020,48.12092247,2,21,,1,0,1,1,4,1,,0,4,4,4,48.12092247,2,21,1,0,1,1,1,2,4,4,4
2020,46.31072413,2,21,,0,0,0,0,0,1,,0,4,3,3,46.31072413,2,21,2,,,,1,2,4,3,3
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,4,3,4,48.12092247,2,21,2,,,,1,2,4,4,3
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,4,3,2,48.12092247,2,21,2,,,,1,2,4,2,3
2020,46.31072413,2,21,,1,0,0,1,3,1,,0,4,3,3,46.31072413,2,21,1,0,0,1,1,2,4,3,3
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,3,3,2,48.12092247,2,21,2,,,,1,2,3,2,3
2020,46.31072413,2,21,,0,0,0,0,0,1,,0,3,4,3,46.31072413,2,21,2,,,,1,3,3,3,4
2020,44.92415182,2,21,,1,0,0,1,3,1,,0,5,4,4,44.92415182,2,21,1,0,0,1,1,2,5,4,4
2020,44.92415182,2,21,,0,0,0,0,0,1,,0,5,3,4,44.92415182,2,21,2,,,,1,2,5,4,3
2020,62.31242453,2,21,,0,0,0,0,0,1,,0,3,3,2,62.31242453,2,21,2,,,,1,2,3,2,3
2020,44.92415182,2,21,,0,0,0,0,0,1,,0,5,3,3,44.92415182,2,21,2,,,,1,2,5,3,3
2020,48.12092247,2,21,,0,0,0,0,0,1,,0,4,3,2,48.12092247,2,21,2,,,,1,2,4,2,3
2020,44.92415182,2,21,,1,0,0,1,3,1,,0,5,4,4,44.92415182,2,21,1,0,0,1,1,2,5,4,4
2020,48.12092247,2,21,,1,0,0,1,3,1,,0,3,3,3,48.12092247,2,21,1,0,0,1,1,2,3,3,3
2020,48.12092247,2,21,,1,0,0,1,3,1,,0,4,5,4,48.12092247,2,21,1,0,0,1,1,2,4,4,5
2020,44.92415182,2,21,,0,0,0,0,0,1,,0,5,4,4,44.92415182,2,21,2,,,,1,2,5,4,4
2020,9.698236153,2,22,,0,0,0,0,0,2,,0,3,3,3,9.698236153,2,22,2,,,,2,3,3,3,3
2020,9.407864841,2,22,,0,0,0,0,0,1,,0,3,3,3,9.407864841,2,22,2,,,,1,2,3,3,3
2020,10.0773218,2,22,,0,0,0,0,0,1,,0,4,4,3,10.0773218,2,22,2,,,,1,2,4,3,4
2020,9.698236153,2,22,,0,0,0,0,0,1,,0,4,3,3,9.698236153,2,22,2,,,,1,2,4,3,3
2020,9.407864841,2,22,,0,0,0,0,0,1,,0,5,5,4,9.407864841,2,22,2,,,,1,2,5,4,5
2020,9.698236153,2,22,,0,0,0,0,0,2,,0,4,3,3,9.698236153,2,22,2,,,,2,3,4,3,3
2020,9.698236153,2,22,,0,0,0,0,0,1,,0,4,3,4,9.698236153,2,22,2,,,,1,2,4,4,3
2020,10.0773218,2,22,,1,0,0,1,3,2,,0,4,3,4,10.0773218,2,22,1,0,0,1,2,2,4,4,3
2020,9.698236153,2,22,,1,0,0,1,3,1,,0,3,3,3,9.698236153,2,22,1,0,0,1,1,2,3,3,3
2020,9.698236153,2,22,,1,0,0,1,3,1,,0,3,3,4,9.698236153,2,22,1,0,0,1,1,2,3,4,3
2020,10.0773218,2,22,,1,0,0,1,3,2,,0,4,3,4,10.0773218,2,22,1,0,0,1,2,2,4,4,3
2020,9.698236153,2,22,,0,0,0,0,0,1,,1,3,3,3,9.698236153,2,22,2,,,,1,1,3,3,3
2020,9.698236153,2,22,,0,0,0,0,0,2,,0,4,4,4,9.698236153,2,22,2,,,,2,3,4,4,4
2020,9.407864841,2,22,,0,0,0,0,0,2,,0,5,4,4,9.407864841,2,22,2,,,,2,2,5,4,4
2020,9.698236153,2,22,,0,0,0,0,0,2,,0,4,3,4,9.698236153,2,22,2,,,,2,3,4,4,3
2020,10.0773218,2,22,,1,0,0,1,3,1,,0,4,3,3,10.0773218,2,22,1,0,0,1,1,2,4,3,3
2020,10.0773218,2,22,,1,0,0,1,3,1,,0,4,4,4,10.0773218,2,22,1,0,0,1,1,2,4,4,4
2020,10.0773218,2,22,,0,0,0,0,0,1,,0,4,4,3,10.0773218,2,22,2,,,,1,2,4,3,4
2020,10.0773218,2,22,,1,0,0,1,3,1,,0,4,5,4,10.0773218,2,22,1,0,0,1,1,2,4,4,5
2020,10.0773218,2,22,,0,0,0,0,0,1,,0,4,3,4,10.0773218,2,22,2,,,,1,2,4,4,3
2020,9.407864841,2,22,,1,0,1,0,2,1,,0,5,5,4,9.407864841,2,22,1,0,1,0,1,2,5,4,5
2020,9.698236153,2,22,,0,0,0,0,0,2,,0,4,3,3,9.698236153,2,22,2,,,,2,3,4,3,3
2020,10.0773218,2,22,,0,0,0,0,0,2,,0,4,3,3,10.0773218,2,22,2,,,,2,2,4,3,3
2020,9.698236153,2,22,,0,0,0,0,0,2,,0,4,3,3,9.698236153,2,22,2,,,,2,2,4,3,3
2020,10.0773218,2,22,,1,0,0,1,3,2,,0,4,3,4,10.0773218,2,22,1,0,0,1,2,2,4,4,3
2020,9.698236153,2,22,,0,0,0,0,0,1,,0,4,3,4,9.698236153,2,22,2,,,,1,2,4,4,3
2020,9.407864841,2,22,,0,0,0,0,0,2,,0,4,3,3,9.407864841,2,22,2,,,,2,2,4,3,3
2020,9.407864841,2,22,,0,0,0,0,0,1,,0,4,4,4,9.407864841,2,22,2,,,,1,2,4,4,4
2020,10.0773218,2,22,,1,0,0,1,3,2,,0,4,4,4,10.0773218,2,22,1,0,0,1,2,2,4,4,4
2020,9.407864841,2,22,,1,0,0,1,3,1,,0,4,4,4,9.407864841,2,22,1,0,0,1,1,2,4,4,4
2020,9.407864841,2,22,,0,0,0,0,0,2,,0,4,3,4,9.407864841,2,22,2,,,,2,2,4,4,3
2020,10.0773218,2,22,,1,0,0,1,3,2,,0,4,3,4,10.0773218,2,22,1,0,0,1,2,2,4,4,3
2020,9.698236153,2,22,,1,0,1,0,2,1,,0,4,3,4,9.698236153,2,22,1,0,1,0,1,2,4,4,3
2020,9.698236153,2,22,,0,0,0,0,0,2,,0,4,3,3,9.698236153,2,22,2,,,,2,2,4,3,3
2020,10.0773218,2,22,,0,0,0,0,0,1,,0,4,3,4,10.0773218,2,22,2,,,,1,2,4,4,3
2020,9.698236153,2,22,,0,0,0,0,0,1,,0,4,3,3,9.698236153,2,22,2,,,,1,2,4,3,3
2020,9.407864841,2,22,,1,0,0,1,3,2,,0,4,3,3,9.407864841,2,22,1,0,0,1,2,2,4,3,3
2020,9.407864841,2,22,,1,0,0,1,3,2,,0,4,2,3,9.407864841,2,22,1,0,0,1,2,2,4,3,2
2020,9.407864841,2,22,,0,0,0,0,0,1,,0,4,3,3,9.407864841,2,22,2,,,,1,2,4,3,3
2020,9.698236153,2,22,,1,0,0,1,3,2,,0,4,3,3,9.698236153,2,22,1,0,0,1,2,2,4,3,3
2020,10.0773218,2,22,,0,0,0,0,0,1,,0,4,3,4,10.0773218,2,22,2,,,,1,2,4,4,3
2020,10.0773218,2,22,,0,0,0,0,0,1,,0,5,4,3,10.0773218,2,22,2,,,,1,2,5,3,4
2020,10.0773218,2,22,,0,0,0,0,0,1,,0,4,4,3,10.0773218,2,22,2,,,,1,2,4,3,4
2020,9.698236153,2,22,,1,0,0,1,3,2,,0,4,3,3,9.698236153,2,22,1,0,0,1,2,2,4,3,3
2020,10.0773218,2,22,,1,0,0,1,3,2,,0,4,4,4,10.0773218,2,22,1,0,0,1,2,2,4,4,4
2020,9.698236153,2,22,,1,0,0,1,3,1,,1,3,4,4,9.698236153,2,22,1,0,0,1,1,1,3,4,4
2020,9.698236153,2,22,,0,0,0,0,0,1,,0,4,3,4,9.698236153,2,22,2,,,,1,2,4,4,3
2020,9.407864841,2,22,,0,0,0,0,0,1,,0,5,4,4,9.407864841,2,22,2,,,,1,2,5,4,4
2020,10.0773218,2,22,,0,0,0,0,0,1,,0,4,3,3,10.0773218,2,22,2,,,,1,2,4,3,3
2020,9.698236153,2,22,,0,0,0,0,0,1,,0,4,3,4,9.698236153,2,22,2,,,,1,2,4,4,3
2020,9.698236153,2,22,,0,0,0,0,0,1,,0,5,3,4,9.698236153,2,22,2,,,,1,2,5,4,3
2020,9.407864841,2,22,,0,0,0,0,0,1,,0,3,3,3,9.407864841,2,22,2,,,,1,2,3,3,3
2020,9.698236153,2,22,,1,0,0,1,3,1,,0,4,3,4,9.698236153,2,22,1,0,0,1,1,2,4,4,3
2020,9.407864841,2,22,,0,0,0,0,0,1,,0,4,2,4,9.407864841,2,22,2,,,,1,2,4,4,2
2020,10.0773218,2,22,,1,0,0,1,3,2,,0,4,3,4,10.0773218,2,22,1,0,0,1,2,2,4,4,3
2020,9.407864841,2,22,,1,0,1,1,4,1,,1,5,4,4,9.407864841,2,22,1,0,1,1,1,1,5,4,4
2020,10.0773218,2,22,,0,0,0,0,0,1,,0,4,3,3,10.0773218,2,22,2,,,,1,2,4,3,3
2020,9.407864841,2,22,,1,0,1,1,4,1,,0,5,5,5,9.407864841,2,22,1,0,1,1,1,2,5,5,5
2020,9.698236153,2,22,,0,0,0,0,0,1,,0,4,3,4,9.698236153,2,22,2,,,,1,2,4,4,3
2020,9.698236153,2,22,,0,0,0,0,0,1,,0,5,3,4,9.698236153,2,22,2,,,,1,2,5,4,3
2020,9.407864841,2,22,,1,0,0,1,3,2,,0,4,3,4,9.407864841,2,22,1,0,0,1,2,2,4,4,3
2020,9.698236153,2,22,,0,0,0,0,0,1,,0,4,3,3,9.698236153,2,22,2,,,,1,2,4,3,3
2020,2.115015303,2,23,,0,0,0,0,0,2,,0,3,3,3,2.115015303,2,23,2,,,,2,2,3,3,3
2020,2.05169041,2,23,,0,0,0,0,0,1,,0,4,3,4,2.05169041,2,23,2,,,,1,2,4,4,3
2020,2.115015303,2,23,,0,0,0,0,0,2,,0,4,3,4,2.115015303,2,23,2,,,,2,3,4,4,3
2020,2.197687239,2,23,,1,0,0,1,3,2,,0,4,3,3,2.197687239,2,23,1,0,0,1,2,2,4,3,3
2020,2.197687239,2,23,,0,0,0,0,0,1,,0,4,3,4,2.197687239,2,23,2,,,,1,2,4,4,3
2020,2.115015303,2,23,,0,0,0,0,0,1,,0,4,4,4,2.115015303,2,23,2,,,,1,3,4,4,4
2020,2.05169041,2,23,,1,0,0,1,3,2,,0,4,3,4,2.05169041,2,23,1,0,0,1,2,2,4,4,3
2020,2.05169041,2,23,,0,0,0,0,0,1,,0,4,4,4,2.05169041,2,23,2,,,,1,2,4,4,4
2020,2.197687239,2,23,,0,0,0,0,0,2,,0,4,3,3,2.197687239,2,23,2,,,,2,3,4,3,3
2020,2.197687239,2,23,,0,0,0,0,0,1,,0,3,3,3,2.197687239,2,23,2,,,,1,3,3,3,3
2020,2.05169041,2,23,,1,0,0,1,3,1,,0,5,3,4,2.05169041,2,23,1,0,0,1,1,2,5,4,3
2020,2.05169041,2,23,,1,0,0,1,3,2,,0,4,4,4,2.05169041,2,23,1,0,0,1,2,2,4,4,4
2020,2.115015303,2,23,,1,0,0,1,3,2,,0,4,3,4,2.115015303,2,23,1,0,0,1,2,2,4,4,3
2020,2.197687239,2,23,,0,0,0,0,0,2,,0,4,3,3,2.197687239,2,23,2,,,,2,2,4,3,3
2020,2.197687239,2,23,,1,0,0,1,3,2,,0,5,4,4,2.197687239,2,23,1,0,0,1,2,2,5,4,4
2020,2.115015303,2,23,,0,0,0,0,0,2,,0,4,3,4,2.115015303,2,23,2,,,,2,3,4,4,3
2020,2.05169041,2,23,,1,0,0,1,3,2,,0,4,4,4,2.05169041,2,23,1,0,0,1,2,2,4,4,4
2020,2.115015303,2,23,,1,0,0,1,3,2,,0,4,3,4,2.115015303,2,23,1,0,0,1,2,2,4,4,3
2020,2.197687239,2,23,,0,0,0,0,0,1,,0,4,3,3,2.197687239,2,23,2,,,,1,3,4,3,3
2020,2.05169041,2,23,,1,0,0,1,3,2,,0,4,3,4,2.05169041,2,23,1,0,0,1,2,2,4,4,3
2020,2.197687239,2,23,,0,0,0,0,0,2,,0,4,3,4,2.197687239,2,23,2,,,,2,3,4,4,3
2020,2.197687239,2,23,,1,0,0,1,3,2,,0,4,3,4,2.197687239,2,23,1,0,0,1,2,2,4,4,3
2020,2.05169041,2,23,,1,0,0,1,3,2,,0,5,4,5,2.05169041,2,23,1,0,0,1,2,2,5,5,4
2020,2.115015303,2,23,,0,0,0,0,0,2,,0,4,4,4,2.115015303,2,23,2,,,,2,3,4,4,4
2020,2.05169041,2,23,,0,0,0,0,0,1,,0,4,4,4,2.05169041,2,23,2,,,,1,2,4,4,4
2020,2.115015303,2,23,,0,0,0,0,0,2,,0,4,4,4,2.115015303,2,23,2,,,,2,2,4,4,4
2020,1.666522403,99,23,,1,0,1,1,4,1,,1,5,5,4,1.666522403,99,23,1,0,1,1,1,1,5,4,5
2020,1.555811934,2,23,,1,0,1,1,4,2,,1,5,5,4,1.555811934,2,23,1,0,1,1,2,1,5,4,5
2020,1.555811934,2,23,,0,0,0,0,0,2,,0,4,4,4,1.555811934,2,23,2,,,,2,2,4,4,4
2020,1.555811934,2,23,,1,0,1,1,4,2,,0,5,5,5,1.555811934,2,23,1,0,1,1,2,2,5,5,5
2020,1.666522403,99,23,,0,0,0,0,0,2,,1,4,4,4,1.666522403,99,23,2,,,,2,1,4,4,4
2020,1.603831666,99,23,,1,1,0,0,1,1,,1,4,5,3,1.603831666,99,23,1,1,0,0,1,1,4,3,5
2020,1.603831666,99,23,,1,1,0,0,1,1,,1,5,5,4,1.603831666,99,23,1,1,0,0,1,1,5,4,5
2020,21.54290139,99,31,,0,0,0,0,0,1,,0,3,3,2,21.54290139,99,31,2,,,,1,2,3,2,3
2020,20.11176268,3,31,,0,0,0,0,0,1,,0,4,3,3,20.11176268,3,31,2,,,,1,2,4,3,3
2020,20.11176268,3,31,,0,0,0,0,0,1,,0,5,3,4,20.11176268,3,31,2,,,,1,2,5,4,3
2020,20.11176268,3,31,,0,0,0,0,0,1,,0,5,3,3,20.11176268,3,31,2,,,,1,2,5,3,3
2020,21.54290139,99,31,,0,0,0,0,0,1,,0,4,4,3,21.54290139,99,31,2,,,,1,2,4,3,4
2020,20.73250702,99,31,,1,0,0,1,3,1,,0,3,4,4,20.73250702,99,31,1,0,0,1,1,2,3,4,4
2020,3.951219315,99,32,,0,0,0,0,0,1,,0,4,3,3,3.951219315,99,32,2,,,,1,2,4,3,3
2020,4.105664982,3,32,,1,0,0,1,3,2,,0,4,3,4,4.105664982,3,32,1,0,0,1,2,2,4,4,3
2020,4.105664982,3,32,,0,0,0,0,0,1,,0,4,3,4,4.105664982,3,32,2,,,,1,3,4,4,3
2020,4.105664982,3,32,,0,0,0,0,0,2,,0,4,3,4,4.105664982,3,32,2,,,,2,2,4,4,3
2020,3.832917315,99,32,,0,0,0,0,0,2,,0,4,3,3,3.832917315,99,32,2,,,,2,3,4,3,3
2020,4.105664982,3,32,,0,0,0,0,0,1,,0,4,3,3,4.105664982,3,32,2,,,,1,2,4,3,3
2020,1.124533694,99,33,,0,0,0,0,0,2,,0,4,3,3,1.124533694,99,33,2,,,,2,3,4,3,3
2020,39.75640192,4,41,,1,0,0,1,3,1,,0,4,2,3,39.75640192,4,41,1,0,0,1,1,2,4,3,2
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,5,4,4,38.56607016,4,41,2,,,,1,2,5,4,4
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,4,3,3,38.56607016,4,41,2,,,,1,2,4,3,3
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,4,3,3,38.56607016,4,41,2,,,,1,2,4,3,3
2020,41.31040425,4,41,,0,0,0,0,0,1,,0,4,4,4,41.31040425,4,41,2,,,,1,2,4,4,4
2020,41.31040425,4,41,,0,0,0,0,0,1,,0,3,3,2,41.31040425,4,41,2,,,,1,2,3,2,3
2020,41.31040425,4,41,,0,0,0,0,0,1,,0,4,4,3,41.31040425,4,41,2,,,,1,2,4,3,4
2020,41.31040425,4,41,,0,0,0,0,0,1,,0,3,3,3,41.31040425,4,41,2,,,,1,2,3,3,3
2020,41.31040425,4,41,,0,0,0,0,0,1,,0,4,3,3,41.31040425,4,41,2,,,,1,2,4,3,3
2020,41.31040425,4,41,,0,0,0,0,0,2,,0,4,3,3,41.31040425,4,41,2,,,,2,2,4,3,3
2020,39.75640192,4,41,,1,0,0,1,3,1,,0,4,4,5,39.75640192,4,41,1,0,0,1,1,2,4,5,4
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,4,3,3,38.56607016,4,41,2,,,,1,2,4,3,3
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,5,4,4,38.56607016,4,41,2,,,,1,2,5,4,4
2020,41.31040425,4,41,,0,0,0,0,0,2,,0,4,3,4,41.31040425,4,41,2,,,,2,2,4,4,3
2020,41.31040425,4,41,,0,0,0,0,0,1,,0,3,3,3,41.31040425,4,41,2,,,,1,2,3,3,3
2020,41.31040425,4,41,,0,0,0,0,0,2,,0,4,3,3,41.31040425,4,41,2,,,,2,2,4,3,3
2020,39.75640192,4,41,,1,0,0,1,3,1,,0,4,4,5,39.75640192,4,41,1,0,0,1,1,2,4,5,4
2020,41.31040425,4,41,,0,0,0,0,0,2,,0,4,3,3,41.31040425,4,41,2,,,,2,2,4,3,3
2020,41.31040425,4,41,,1,0,0,1,3,1,,0,4,4,5,41.31040425,4,41,1,0,0,1,1,2,4,5,4
2020,41.31040425,4,41,,0,0,0,0,0,1,,0,4,3,4,41.31040425,4,41,2,,,,1,2,4,4,3
2020,39.75640192,4,41,,1,0,0,1,3,1,,0,4,2,3,39.75640192,4,41,1,0,0,1,1,2,4,3,2
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,4,3,4,38.56607016,4,41,2,,,,1,2,4,4,3
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,4,5,4,38.56607016,4,41,2,,,,1,2,4,4,5
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,3,3,2,38.56607016,4,41,2,,,,1,2,3,2,3
2020,41.31040425,4,41,,1,0,0,1,3,2,,0,4,3,4,41.31040425,4,41,1,0,0,1,2,2,4,4,3
2020,41.31040425,4,41,,1,0,0,1,3,2,,0,3,4,4,41.31040425,4,41,1,0,0,1,2,2,3,4,4
2020,41.31040425,4,41,,1,0,0,1,3,2,,0,4,3,3,41.31040425,4,41,1,0,0,1,2,2,4,3,3
2020,39.75640192,4,41,,0,0,0,0,0,1,,0,3,4,3,39.75640192,4,41,2,,,,1,2,3,3,4
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,4,3,3,38.56607016,4,41,2,,,,1,2,4,3,3
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,4,4,3,38.56607016,4,41,2,,,,1,2,4,3,4
2020,41.31040425,4,41,,0,0,0,0,0,2,,0,4,3,3,41.31040425,4,41,2,,,,2,2,4,3,3
2020,39.75640192,4,41,,1,0,0,1,3,1,,0,3,3,4,39.75640192,4,41,1,0,0,1,1,2,3,4,3
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,3,3,3,38.56607016,4,41,2,,,,1,2,3,3,3
2020,41.31040425,4,41,,0,0,0,0,0,1,,0,4,3,3,41.31040425,4,41,2,,,,1,2,4,3,3
2020,39.75640192,4,41,,0,0,0,0,0,1,,0,3,2,4,39.75640192,4,41,2,,,,1,2,3,4,2
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,3,3,2,38.56607016,4,41,2,,,,1,2,3,2,3
2020,38.56607016,4,41,,1,0,1,1,4,1,,0,4,3,3,38.56607016,4,41,1,0,1,1,1,2,4,3,3
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,3,3,2,38.56607016,4,41,2,,,,1,2,3,2,3
2020,41.31040425,4,41,,0,0,0,0,0,1,,0,4,3,3,41.31040425,4,41,2,,,,1,2,4,3,3
2020,38.56607016,4,41,,1,0,1,1,4,1,,0,4,4,3,38.56607016,4,41,1,0,1,1,1,2,4,3,4
2020,41.31040425,4,41,,0,0,0,0,0,1,,0,3,3,3,41.31040425,4,41,2,,,,1,2,3,3,3
2020,41.31040425,4,41,,0,0,0,0,0,1,,0,4,3,4,41.31040425,4,41,2,,,,1,2,4,4,3
2020,38.56607016,4,41,,0,0,0,0,0,1,,0,4,4,3,38.56607016,4,41,2,,,,1,2,4,3,4
2020,39.75640192,4,41,,0,0,0,0,0,1,,0,4,3,4,39.75640192,4,41,2,,,,1,2,4,4,3
