year,weight,industry,industry_size,firm_size,it_org_any,it_org_internal,it_org_mixed,it_org_outsource,it_org_type,it_invest_share_std4,it_invest_share_pct,ai_use,proc_improve,innov_outcome,decision_improve,weight_raw,industry_raw,industry_size_raw,firm_size_raw,it_org_any_raw,it_org_internal_raw,it_org_mixed_raw,it_org_outsource_raw,it_invest_share_raw,ai_use_raw,proc_improve_raw,decision_improve_raw,innov_outcome_raw
2024,3.28353875094511,1,11,1,0,0,0,0,0,1,1.0,0,2,2,3,3.28353875094511,1,11,1,2,,,,1,2,2,3,2
2024,3.28353875094511,1,11,1,0,0,0,0,0,2,2.0,0,4,3,3,3.28353875094511,1,11,1,2,,,,2,2,4,3,3
2024,3.20548444231408,1,11,1,0,0,0,0,0,1,1.0,0,3,2,3,3.20548444231408,1,11,1,2,,,,1,2,3,3,2
2024,3.20548444231408,1,11,1,0,0,0,0,0,1,1.0,0,3,3,2,3.20548444231408,1,11,1,2,,,,1,2,3,2,3
2024,3.20548444231408,1,11,1,0,0,0,0,0,1,1.0,0,3,4,3,3.20548444231408,1,11,1,2,,,,1,2,3,3,4
2024,3.20548444231408,1,11,1,0,0,0,0,0,1,1.0,1,2,3,2,3.20548444231408,1,11,1,2,,,,1,1,2,2,3
2024,3.18053109676682,1,11,1,0,0,0,0,0,1,1.0,0,2,2,2,3.18053109676682,1,11,1,2,,,,1,2,2,2,2
2024,3.18053109676682,1,11,1,0,0,0,0,0,1,1.0,0,3,3,4,3.18053109676682,1,11,1,2,,,,1,2,3,4,3
2024,3.18053109676682,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.18053109676682,1,11,1,2,,,,1,2,4,3,3
2024,3.18053109676682,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.18053109676682,1,11,1,2,,,,1,2,4,3,3
2024,3.18053109676682,1,11,1,0,0,0,0,0,1,1.0,0,3,3,4,3.18053109676682,1,11,1,2,,,,1,2,3,4,3
2024,3.18053109676682,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,3.18053109676682,1,11,1,2,,,,1,2,3,3,3
2024,3.18053109676682,1,11,1,0,0,0,0,0,1,1.0,0,3,3,4,3.18053109676682,1,11,1,2,,,,1,2,3,4,3
2024,3.18053109676682,1,11,1,0,0,0,0,0,1,1.0,0,3,2,3,3.18053109676682,1,11,1,2,,,,1,2,3,3,2
2024,3.18053109676682,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.18053109676682,1,11,1,2,,,,1,2,4,3,3
2024,3.18053109676682,1,11,1,1,0,1,0,2,1,1.0,0,4,3,3,3.18053109676682,1,11,1,1,0,1,0,1,2,4,3,3
2024,3.18053109676682,1,11,1,1,0,1,1,4,1,1.0,0,3,3,3,3.18053109676682,1,11,1,1,0,1,1,1,2,3,3,3
2024,3.18053109676682,1,11,1,0,0,0,0,0,1,1.0,0,5,3,3,3.18053109676682,1,11,1,2,,,,1,2,5,3,3
2024,3.18053109676682,1,11,1,1,0,1,0,2,1,1.0,0,4,3,3,3.18053109676682,1,11,1,1,0,1,0,1,2,4,3,3
2024,3.18053109676682,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,3.18053109676682,1,11,1,2,,,,1,2,3,3,3
2024,3.18053109676682,1,11,1,0,0,0,0,0,1,1.0,0,4,2,3,3.18053109676682,1,11,1,2,,,,1,2,4,3,2
2024,3.25267159895663,1,11,1,0,0,0,0,0,1,1.0,0,3,2,3,3.25267159895663,1,11,1,2,,,,1,2,3,3,2
2024,3.25267159895663,1,11,1,0,0,0,0,0,1,1.0,0,3,3,4,3.25267159895663,1,11,1,2,,,,1,2,3,4,3
2024,3.25267159895663,1,11,1,0,0,0,0,0,1,1.0,0,5,4,5,3.25267159895663,1,11,1,2,,,,1,2,5,5,4
2024,3.25267159895663,1,11,1,1,0,1,0,2,1,1.0,0,3,2,3,3.25267159895663,1,11,1,1,0,1,0,1,2,3,3,2
2024,3.25267159895663,1,11,1,0,0,0,0,0,1,1.0,0,3,1,3,3.25267159895663,1,11,1,2,,,,1,2,3,3,1
2024,3.25267159895663,1,11,1,1,0,1,0,2,1,1.0,0,4,3,3,3.25267159895663,1,11,1,1,0,1,0,1,2,4,3,3
2024,3.25267159895663,1,11,1,1,0,1,0,2,1,1.0,1,4,4,4,3.25267159895663,1,11,1,1,0,1,0,1,1,4,4,4
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,4,2,3,3.25490043200427,1,11,1,1,0,1,0,1,2,4,3,2
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,4,3,3,3.25490043200427,1,11,1,1,0,1,0,1,2,4,3,3
2024,3.25490043200427,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.25490043200427,1,11,1,2,,,,1,2,4,3,3
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,4,3,3,3.25490043200427,1,11,1,1,0,1,0,1,2,4,3,3
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,4,5,3,3.25490043200427,1,11,1,1,0,1,0,1,2,4,3,5
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,5,3,3,3.25490043200427,1,11,1,1,0,1,0,1,2,5,3,3
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,5,3,4,3.25490043200427,1,11,1,1,0,1,0,1,2,5,4,3
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,4,4,3,3.25490043200427,1,11,1,1,0,1,0,1,2,4,3,4
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,5,3,3,3.25490043200427,1,11,1,1,0,1,0,1,2,5,3,3
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,4,3,4,3.25490043200427,1,11,1,1,0,1,0,1,2,4,4,3
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,1,4,3,3,3.25490043200427,1,11,1,1,0,1,0,1,1,4,3,3
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,4,4,4,3.25490043200427,1,11,1,1,0,1,0,1,2,4,4,4
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,3,4,3,3.25490043200427,1,11,1,1,0,1,0,1,2,3,3,4
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,4,4,5,3.25490043200427,1,11,1,1,0,1,0,1,2,4,5,4
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,4,3,4,3.25490043200427,1,11,1,1,0,1,0,1,2,4,4,3
2024,3.25490043200427,1,11,1,1,0,1,0,2,2,2.0,0,5,3,5,3.25490043200427,1,11,1,1,0,1,0,2,2,5,5,3
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,4,3,3,3.25490043200427,1,11,1,1,0,1,0,1,2,4,3,3
2024,3.25490043200427,1,11,1,0,0,0,0,0,1,1.0,0,3,3,2,3.25490043200427,1,11,1,2,,,,1,2,3,2,3
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,4,3,3,3.25490043200427,1,11,1,1,0,1,0,1,2,4,3,3
2024,3.25490043200427,1,11,1,1,0,1,0,2,1,1.0,0,5,3,3,3.25490043200427,1,11,1,1,0,1,0,1,2,5,3,3
2024,3.23142958265306,1,11,1,0,0,0,0,0,1,1.0,1,3,2,2,3.23142958265306,1,11,1,2,,,,1,1,3,2,2
2024,3.23142958265306,1,11,1,1,1,1,0,4,1,1.0,0,2,2,2,3.23142958265306,1,11,1,1,1,1,0,1,2,2,2,2
2024,3.24359846384566,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,3.24359846384566,1,11,1,2,,,,1,2,4,4,3
2024,3.24359846384566,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.24359846384566,1,11,1,2,,,,1,2,4,3,3
2024,3.23713216605554,1,11,1,1,0,1,0,2,1,1.0,0,5,4,4,3.23713216605554,1,11,1,1,0,1,0,1,2,5,4,4
2024,3.23713216605554,1,11,1,1,0,1,0,2,1,1.0,0,5,3,4,3.23713216605554,1,11,1,1,0,1,0,1,2,5,4,3
2024,3.23713216605554,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.23713216605554,1,11,1,2,,,,1,2,4,3,3
2024,3.23713216605554,1,11,1,1,0,1,0,2,1,1.0,1,4,2,4,3.23713216605554,1,11,1,1,0,1,0,1,1,4,4,2
2024,3.23713216605554,1,11,1,1,0,1,0,2,1,1.0,0,4,3,3,3.23713216605554,1,11,1,1,0,1,0,1,2,4,3,3
2024,3.26122603798862,1,11,1,0,0,0,0,0,1,1.0,0,5,3,3,3.26122603798862,1,11,1,2,,,,1,2,5,3,3
2024,3.23028994056153,1,11,1,1,0,1,0,2,1,1.0,0,4,3,4,3.23028994056153,1,11,1,1,0,1,0,1,2,4,4,3
2024,3.23028994056153,1,11,1,1,0,1,0,2,1,1.0,0,3,3,4,3.23028994056153,1,11,1,1,0,1,0,1,2,3,4,3
2024,3.82227418826877,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,3.82227418826877,1,11,1,2,,,,1,2,4,4,3
2024,3.26291452288354,1,11,1,1,0,1,1,4,3,8.0,0,4,4,3,3.26291452288354,1,11,1,1,0,1,1,8,2,4,3,4
2024,3.26291452288354,1,11,1,1,1,0,0,1,1,1.0,0,4,3,4,3.26291452288354,1,11,1,1,1,0,0,1,2,4,4,3
2024,3.26291452288354,1,11,1,1,1,1,1,4,1,1.0,0,4,2,2,3.26291452288354,1,11,1,1,1,1,1,1,2,4,2,2
2024,3.26291452288354,1,11,1,0,0,0,0,0,1,1.0,0,3,2,2,3.26291452288354,1,11,1,2,,,,1,2,3,2,2
2024,3.26291452288354,1,11,1,1,0,1,0,2,4,50.0,1,4,5,5,3.26291452288354,1,11,1,1,0,1,0,50,1,4,5,5
2024,3.26291452288354,1,11,1,1,0,1,0,2,1,1.0,1,5,3,4,3.26291452288354,1,11,1,1,0,1,0,1,1,5,4,3
2024,3.26291452288354,1,11,1,0,0,0,0,0,1,1.0,1,4,4,4,3.26291452288354,1,11,1,2,,,,1,1,4,4,4
2024,3.26291452288354,1,11,1,0,0,0,0,0,1,1.0,0,3,4,3,3.26291452288354,1,11,1,2,,,,1,2,3,3,4
2024,3.26291452288354,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,3.26291452288354,1,11,1,2,,,,1,2,4,4,3
2024,3.26291452288354,1,11,1,1,0,0,1,3,1,1.0,1,5,4,3,3.26291452288354,1,11,1,1,0,0,1,1,1,5,3,4
2024,3.26291452288354,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,3.26291452288354,1,11,1,2,,,,1,2,4,4,4
2024,3.26291452288354,1,11,1,1,0,1,0,2,1,1.0,0,4,3,4,3.26291452288354,1,11,1,1,0,1,0,1,2,4,4,3
2024,3.26291452288354,1,11,1,1,1,0,0,1,1,1.0,0,4,2,3,3.26291452288354,1,11,1,1,1,0,0,1,2,4,3,2
2024,3.26291452288354,1,11,1,0,0,0,0,0,3,5.0,1,3,2,3,3.26291452288354,1,11,1,2,,,,5,1,3,3,2
2024,3.26291452288354,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.26291452288354,1,11,1,2,,,,1,2,4,3,3
2024,3.13732505795983,1,11,1,1,0,1,0,2,1,1.0,1,5,3,4,3.13732505795983,1,11,1,1,0,1,0,1,1,5,4,3
2024,3.13732505795983,1,11,1,0,0,0,0,0,1,1.0,0,3,2,2,3.13732505795983,1,11,1,2,,,,1,2,3,2,2
2024,3.13732505795983,1,11,1,0,0,0,0,0,1,1.0,0,4,2,3,3.13732505795983,1,11,1,2,,,,1,2,4,3,2
2024,3.13732505795983,1,11,1,1,0,1,0,2,1,1.0,0,4,1,5,3.13732505795983,1,11,1,1,0,1,0,1,2,4,5,1
2024,3.13732505795983,1,11,1,1,0,1,1,4,1,1.0,0,2,2,2,3.13732505795983,1,11,1,1,0,1,1,1,2,2,2,2
2024,3.13732505795983,1,11,1,0,0,0,0,0,1,1.0,1,5,3,3,3.13732505795983,1,11,1,2,,,,1,1,5,3,3
2024,3.13732505795983,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,3.13732505795983,1,11,1,2,,,,1,2,4,4,3
2024,3.13732505795983,1,11,1,0,0,0,0,0,1,1.0,1,4,4,4,3.13732505795983,1,11,1,2,,,,1,1,4,4,4
2024,3.13732505795983,1,11,1,0,0,0,0,0,1,1.0,0,2,2,2,3.13732505795983,1,11,1,2,,,,1,2,2,2,2
2024,3.13732505795983,1,11,1,0,0,0,0,0,3,7.0,1,4,3,3,3.13732505795983,1,11,1,2,,,,7,1,4,3,3
2024,3.13732505795983,1,11,1,1,0,1,1,4,1,1.0,1,4,3,3,3.13732505795983,1,11,1,1,0,1,1,1,1,4,3,3
2024,3.13732505795983,1,11,1,0,0,0,0,0,1,1.0,1,3,2,3,3.13732505795983,1,11,1,2,,,,1,1,3,3,2
2024,3.29132959523057,1,11,1,0,0,0,0,0,3,7.0,0,4,3,3,3.29132959523057,1,11,1,2,,,,7,2,4,3,3
2024,3.29132959523057,1,11,1,1,0,1,1,4,3,7.0,0,3,4,4,3.29132959523057,1,11,1,1,0,1,1,7,2,3,4,4
2024,3.29132959523057,1,11,1,0,0,0,0,0,2,2.0,0,4,3,3,3.29132959523057,1,11,1,2,,,,2,2,4,3,3
2024,3.29132959523057,1,11,1,0,0,0,0,0,2,2.0,0,4,3,3,3.29132959523057,1,11,1,2,,,,2,2,4,3,3
2024,3.29132959523057,1,11,1,0,0,0,0,0,2,2.0,0,4,3,3,3.29132959523057,1,11,1,2,,,,2,2,4,3,3
2024,3.29132959523057,1,11,1,0,0,0,0,0,1,1.0,0,4,4,3,3.29132959523057,1,11,1,2,,,,1,2,4,3,4
2024,3.29132959523057,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,3.29132959523057,1,11,1,2,,,,1,2,3,3,3
2024,3.29132959523057,1,11,1,0,0,0,0,0,1,1.0,0,3,3,4,3.29132959523057,1,11,1,2,,,,1,2,3,4,3
2024,3.29132959523057,1,11,1,0,0,0,0,0,3,6.0,0,3,4,4,3.29132959523057,1,11,1,2,,,,6,2,3,4,4
2024,3.29132959523057,1,11,1,0,0,0,0,0,1,1.0,0,4,4,3,3.29132959523057,1,11,1,2,,,,1,2,4,3,4
2024,3.29132959523057,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,3.29132959523057,1,11,1,2,,,,1,2,3,3,3
2024,3.29132959523057,1,11,1,0,0,0,0,0,1,1.0,0,3,4,5,3.29132959523057,1,11,1,2,,,,1,2,3,5,4
2024,3.29132959523057,1,11,1,0,0,0,0,0,1,1.0,0,5,4,4,3.29132959523057,1,11,1,2,,,,1,2,5,4,4
2024,3.29132959523057,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.29132959523057,1,11,1,2,,,,1,2,4,3,3
2024,3.29132959523057,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,3.29132959523057,1,11,1,2,,,,1,2,4,4,4
2024,3.29132959523057,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,3.29132959523057,1,11,1,2,,,,1,2,4,4,4
2024,3.29132959523057,1,11,1,1,0,0,1,3,1,1.0,1,4,4,4,3.29132959523057,1,11,1,1,0,0,1,1,1,4,4,4
2024,3.29132959523057,1,11,1,1,0,1,0,2,1,1.0,0,4,3,4,3.29132959523057,1,11,1,1,0,1,0,1,2,4,4,3
2024,3.29132959523057,1,11,1,0,0,0,0,0,3,9.0,0,5,3,5,3.29132959523057,1,11,1,2,,,,9,2,5,5,3
2024,3.29507505229933,1,11,1,0,0,0,0,0,2,2.0,0,4,4,3,3.29507505229933,1,11,1,2,,,,2,2,4,3,4
2024,3.29507505229933,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,3.29507505229933,1,11,1,2,,,,1,2,4,4,4
2024,3.29507505229933,1,11,1,1,1,1,0,4,1,1.0,0,2,2,1,3.29507505229933,1,11,1,1,1,1,0,1,2,2,1,2
2024,3.29507505229933,1,11,1,0,0,0,0,0,2,2.0,0,4,4,5,3.29507505229933,1,11,1,2,,,,2,2,4,5,4
2024,3.29507505229933,1,11,1,0,0,0,0,0,2,2.0,0,4,4,4,3.29507505229933,1,11,1,2,,,,2,2,4,4,4
2024,3.29507505229933,1,11,1,1,0,1,1,4,1,1.0,0,4,3,4,3.29507505229933,1,11,1,1,0,1,1,1,2,4,4,3
2024,3.29507505229933,1,11,1,1,0,1,0,2,2,2.0,0,5,3,3,3.29507505229933,1,11,1,1,0,1,0,2,2,5,3,3
2024,3.29507505229933,1,11,1,0,0,0,0,0,1,1.0,0,3,2,2,3.29507505229933,1,11,1,2,,,,1,2,3,2,2
2024,3.29507505229933,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,3.29507505229933,1,11,1,2,,,,1,2,4,4,4
2024,3.29507505229933,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.29507505229933,1,11,1,2,,,,1,2,4,3,3
2024,3.29507505229933,1,11,1,0,0,0,0,0,2,2.0,0,4,4,5,3.29507505229933,1,11,1,2,,,,2,2,4,5,4
2024,3.29507505229933,1,11,1,0,0,0,0,0,2,2.0,0,4,3,3,3.29507505229933,1,11,1,2,,,,2,2,4,3,3
2024,3.29507505229933,1,11,1,0,0,0,0,0,1,1.0,0,2,1,1,3.29507505229933,1,11,1,2,,,,1,2,2,1,1
2024,3.29507505229933,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,3.29507505229933,1,11,1,2,,,,1,2,4,4,3
2024,3.29507505229933,1,11,1,1,1,1,0,4,1,1.0,0,2,3,3,3.29507505229933,1,11,1,1,1,1,0,1,2,2,3,3
2024,3.21674650964986,1,11,1,0,0,0,0,0,4,15.0,0,3,2,3,3.21674650964986,1,11,1,2,,,,15,2,3,3,2
2024,3.21674650964986,1,11,1,0,0,0,0,0,1,1.0,0,4,2,3,3.21674650964986,1,11,1,2,,,,1,2,4,3,2
2024,3.21674650964986,1,11,1,0,0,0,0,0,4,75.0,0,4,2,3,3.21674650964986,1,11,1,2,,,,75,2,4,3,2
2024,3.21674650964986,1,11,1,0,0,0,0,0,1,1.0,0,4,2,3,3.21674650964986,1,11,1,2,,,,1,2,4,3,2
2024,3.21674650964986,1,11,1,0,0,0,0,0,2,4.0,0,4,2,3,3.21674650964986,1,11,1,2,,,,4,2,4,3,2
2024,3.21674650964986,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.21674650964986,1,11,1,2,,,,1,2,4,3,3
2024,3.21674650964986,1,11,1,0,0,0,0,0,1,1.0,0,4,2,3,3.21674650964986,1,11,1,2,,,,1,2,4,3,2
2024,3.21674650964986,1,11,1,0,0,0,0,0,2,3.0,0,4,2,3,3.21674650964986,1,11,1,2,,,,3,2,4,3,2
2024,3.21674650964986,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,3.21674650964986,1,11,1,2,,,,1,2,3,3,3
2024,3.21674650964986,1,11,1,0,0,0,0,0,1,1.0,0,4,2,3,3.21674650964986,1,11,1,2,,,,1,2,4,3,2
2024,3.21674650964986,1,11,1,0,0,0,0,0,2,4.0,0,4,3,3,3.21674650964986,1,11,1,2,,,,4,2,4,3,3
2024,3.21674650964986,1,11,1,0,0,0,0,0,1,1.0,0,5,3,3,3.21674650964986,1,11,1,2,,,,1,2,5,3,3
2024,3.21674650964986,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.21674650964986,1,11,1,2,,,,1,2,4,3,3
2024,3.21674650964986,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.21674650964986,1,11,1,2,,,,1,2,4,3,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.19170549365439,1,11,1,2,,,,1,2,4,3,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.19170549365439,1,11,1,2,,,,1,2,4,3,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.19170549365439,1,11,1,2,,,,1,2,4,3,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.19170549365439,1,11,1,2,,,,1,2,4,3,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,1,4,3,3,3.19170549365439,1,11,1,2,,,,1,1,4,3,3
2024,3.19170549365439,1,11,1,1,0,1,1,4,1,1.0,0,4,3,3,3.19170549365439,1,11,1,1,0,1,1,1,2,4,3,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.19170549365439,1,11,1,2,,,,1,2,4,3,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,3,8.0,0,5,2,3,3.19170549365439,1,11,1,2,,,,8,2,5,3,2
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,3.19170549365439,1,11,1,2,,,,1,2,3,3,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,4,2,3,3.19170549365439,1,11,1,2,,,,1,2,4,3,2
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.19170549365439,1,11,1,2,,,,1,2,4,3,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,4,2,3,3.19170549365439,1,11,1,2,,,,1,2,4,3,2
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,2,2,2,3.19170549365439,1,11,1,2,,,,1,2,2,2,2
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,3.19170549365439,1,11,1,2,,,,1,2,4,3,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,3.19170549365439,1,11,1,2,,,,1,2,3,3,3
2024,3.19170549365439,1,11,1,1,1,0,0,1,1,1.0,1,4,3,3,3.19170549365439,1,11,1,1,1,0,0,1,1,4,3,3
2024,3.19170549365439,1,11,1,1,0,1,0,2,3,7.0,0,3,3,2,3.19170549365439,1,11,1,1,0,1,0,7,2,3,2,3
2024,3.19170549365439,1,11,1,1,0,1,1,4,1,1.0,0,4,3,2,3.19170549365439,1,11,1,1,0,1,1,1,2,4,2,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,3.19170549365439,1,11,1,2,,,,1,2,3,3,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,3,2,3,3.19170549365439,1,11,1,2,,,,1,2,3,3,2
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,3,2,3,3.19170549365439,1,11,1,2,,,,1,2,3,3,2
2024,3.19170549365439,1,11,1,1,0,1,0,2,1,1.0,0,3,3,3,3.19170549365439,1,11,1,1,0,1,0,1,2,3,3,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,1,3,3,2,3.19170549365439,1,11,1,2,,,,1,1,3,2,3
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,4,2,2,3.19170549365439,1,11,1,2,,,,1,2,4,2,2
2024,3.19170549365439,1,11,1,0,0,0,0,0,1,1.0,0,4,3,2,3.19170549365439,1,11,1,2,,,,1,2,4,2,3
2024,3.26409945244581,1,11,1,1,0,1,0,2,1,1.0,0,2,3,3,3.26409945244581,1,11,1,1,0,1,0,1,2,2,3,3
2024,3.26409945244581,1,11,1,1,0,1,0,2,1,1.0,0,4,4,4,3.26409945244581,1,11,1,1,0,1,0,1,2,4,4,4
2024,3.26409945244581,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,3.26409945244581,1,11,1,2,,,,1,2,3,3,3
2024,3.26409945244581,1,11,1,0,0,0,0,0,1,1.0,0,5,2,3,3.26409945244581,1,11,1,2,,,,1,2,5,3,2
2024,3.26409945244581,1,11,1,1,0,1,0,2,1,1.0,0,3,2,3,3.26409945244581,1,11,1,1,0,1,0,1,2,3,3,2
2024,3.26409945244581,1,11,1,1,0,1,0,2,1,1.0,0,2,3,3,3.26409945244581,1,11,1,1,0,1,0,1,2,2,3,3
2024,3.26409945244581,1,11,1,1,0,1,0,2,1,1.0,0,5,4,5,3.26409945244581,1,11,1,1,0,1,0,1,2,5,5,4
